name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m350,cpu,memory,,,,,,,,,,,,,,
m223,cpu,memory,,,,,,,,,,,,,,
m129,cpu,memory,,,,,,,,,,,,,,
m147,cpu,memory,,,,,,,,,,,,,,
m155,cpu,memory,,,,,,,,,,,,,,
m187,cpu,memory,,,,,,,,,,,,,,
m393,cpu,memory,,,,,,,,,,,,,,
m58,cpu,memory,,,,,,,,,,,,,,
m55,cpu,memory,,,,,,,,,,,,,,
m242,cpu,memory,,,,,,,,,,,,,,
m415,cpu,memory,,,,,,,,,,,,,,
m110,cpu,memory,,,,,,,,,,,,,,
m376,cpu,memory,,,,,,,,,,,,,,
m314,cpu,memory,,,,,,,,,,,,,,
m7,cpu,memory,,,,,,,,,,,,,,
m252,cpu,memory,,,,,,,,,,,,,,
