name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m199,cpu,memory,,,,,,,,,,,,,,
m341,cpu,memory,,,,,,,,,,,,,,
m380,cpu,memory,,,,,,,,,,,,,,
m168,cpu,memory,,,,,,,,,,,,,,
m267,cpu,memory,,,,,,,,,,,,,,
m222,cpu,memory,,,,,,,,,,,,,,
m117,cpu,memory,,,,,,,,,,,,,,
m287,cpu,memory,,,,,,,,,,,,,,
m265,cpu,memory,,,,,,,,,,,,,,
m186,cpu,memory,,,,,,,,,,,,,,
m413,cpu,memory,,,,,,,,,,,,,,
m401,cpu,memory,,,,,,,,,,,,,,
m215,cpu,memory,,,,,,,,,,,,,,
m82,cpu,memory,,,,,,,,,,,,,,
m322,cpu,memory,,,,,,,,,,,,,,
m298,cpu,memory,,,,,,,,,,,,,,
