name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m134_gpu0,gpu,utilization,,,,,,,,,,,,,,
m134_gpu1,gpu,utilization,,,,,,,,,,,,,,
m134_gpu2,gpu,utilization,,,,,,,,,,,,,,
m134_gpu3,gpu,utilization,,,,,,,,,,,,,,
m134_gpu4,gpu,utilization,,,,,,,,,,,,,,
m134_gpu5,gpu,utilization,,,,,,,,,,,,,,
m134_gpu6,gpu,utilization,,,,,,,,,,,,,,
m134_gpu7,gpu,utilization,,,,,,,,,,,,,,
m260_gpu0,gpu,utilization,,,,,,,,,,,,,,
m260_gpu1,gpu,utilization,,,,,,,,,,,,,,
m260_gpu2,gpu,utilization,,,,,,,,,,,,,,
m260_gpu3,gpu,utilization,,,,,,,,,,,,,,
m260_gpu4,gpu,utilization,,,,,,,,,,,,,,
m260_gpu5,gpu,utilization,,,,,,,,,,,,,,
m260_gpu6,gpu,utilization,,,,,,,,,,,,,,
m260_gpu7,gpu,utilization,,,,,,,,,,,,,,
