name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m42_gpu0,gpu,utilization,,,,,,,,,,,,,,
m42_gpu1,gpu,utilization,,,,,,,,,,,,,,
m42_gpu2,gpu,utilization,,,,,,,,,,,,,,
m42_gpu3,gpu,utilization,,,,,,,,,,,,,,
m42_gpu4,gpu,utilization,,,,,,,,,,,,,,
m42_gpu5,gpu,utilization,,,,,,,,,,,,,,
m42_gpu6,gpu,utilization,,,,,,,,,,,,,,
m42_gpu7,gpu,utilization,,,,,,,,,,,,,,
m362_gpu0,gpu,utilization,,,,,,,,,,,,,,
m362_gpu1,gpu,utilization,,,,,,,,,,,,,,
m362_gpu2,gpu,utilization,,,,,,,,,,,,,,
m362_gpu3,gpu,utilization,,,,,,,,,,,,,,
m362_gpu4,gpu,utilization,,,,,,,,,,,,,,
m362_gpu5,gpu,utilization,,,,,,,,,,,,,,
m362_gpu6,gpu,utilization,,,,,,,,,,,,,,
m362_gpu7,gpu,utilization,,,,,,,,,,,,,,
