name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m199_gpu0,gpu,utilization,,,,,,,,,,,,,,
m199_gpu1,gpu,utilization,,,,,,,,,,,,,,
m199_gpu2,gpu,utilization,,,,,,,,,,,,,,
m199_gpu3,gpu,utilization,,,,,,,,,,,,,,
m199_gpu4,gpu,utilization,,,,,,,,,,,,,,
m199_gpu5,gpu,utilization,,,,,,,,,,,,,,
m199_gpu6,gpu,utilization,,,,,,,,,,,,,,
m199_gpu7,gpu,utilization,,,,,,,,,,,,,,
m341_gpu0,gpu,utilization,,,,,,,,,,,,,,
m341_gpu1,gpu,utilization,,,,,,,,,,,,,,
m341_gpu2,gpu,utilization,,,,,,,,,,,,,,
m341_gpu3,gpu,utilization,,,,,,,,,,,,,,
m341_gpu4,gpu,utilization,,,,,,,,,,,,,,
m341_gpu5,gpu,utilization,,,,,,,,,,,,,,
m341_gpu6,gpu,utilization,,,,,,,,,,,,,,
m341_gpu7,gpu,utilization,,,,,,,,,,,,,,
m380_gpu0,gpu,utilization,,,,,,,,,,,,,,
m380_gpu1,gpu,utilization,,,,,,,,,,,,,,
m380_gpu2,gpu,utilization,,,,,,,,,,,,,,
m380_gpu3,gpu,utilization,,,,,,,,,,,,,,
m380_gpu4,gpu,utilization,,,,,,,,,,,,,,
m380_gpu5,gpu,utilization,,,,,,,,,,,,,,
m380_gpu6,gpu,utilization,,,,,,,,,,,,,,
m380_gpu7,gpu,utilization,,,,,,,,,,,,,,
m168_gpu0,gpu,utilization,,,,,,,,,,,,,,
m168_gpu1,gpu,utilization,,,,,,,,,,,,,,
m168_gpu2,gpu,utilization,,,,,,,,,,,,,,
m168_gpu3,gpu,utilization,,,,,,,,,,,,,,
m168_gpu4,gpu,utilization,,,,,,,,,,,,,,
m168_gpu5,gpu,utilization,,,,,,,,,,,,,,
m168_gpu6,gpu,utilization,,,,,,,,,,,,,,
m168_gpu7,gpu,utilization,,,,,,,,,,,,,,
m267_gpu0,gpu,utilization,,,,,,,,,,,,,,
m267_gpu1,gpu,utilization,,,,,,,,,,,,,,
m267_gpu2,gpu,utilization,,,,,,,,,,,,,,
m267_gpu3,gpu,utilization,,,,,,,,,,,,,,
m267_gpu4,gpu,utilization,,,,,,,,,,,,,,
m267_gpu5,gpu,utilization,,,,,,,,,,,,,,
m267_gpu6,gpu,utilization,,,,,,,,,,,,,,
m267_gpu7,gpu,utilization,,,,,,,,,,,,,,
