name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m127_gpu0,gpu,utilization,,,,,,,,,,,,,,
m127_gpu1,gpu,utilization,,,,,,,,,,,,,,
m127_gpu2,gpu,utilization,,,,,,,,,,,,,,
m127_gpu3,gpu,utilization,,,,,,,,,,,,,,
m127_gpu4,gpu,utilization,,,,,,,,,,,,,,
m127_gpu5,gpu,utilization,,,,,,,,,,,,,,
m127_gpu6,gpu,utilization,,,,,,,,,,,,,,
m127_gpu7,gpu,utilization,,,,,,,,,,,,,,
m348_gpu0,gpu,utilization,,,,,,,,,,,,,,
m348_gpu1,gpu,utilization,,,,,,,,,,,,,,
m348_gpu2,gpu,utilization,,,,,,,,,,,,,,
m348_gpu3,gpu,utilization,,,,,,,,,,,,,,
m348_gpu4,gpu,utilization,,,,,,,,,,,,,,
m348_gpu5,gpu,utilization,,,,,,,,,,,,,,
m348_gpu6,gpu,utilization,,,,,,,,,,,,,,
m348_gpu7,gpu,utilization,,,,,,,,,,,,,,
