name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m273_gpu0,gpu,utilization,,,,,,,,,,,,,,
m273_gpu1,gpu,utilization,,,,,,,,,,,,,,
m273_gpu2,gpu,utilization,,,,,,,,,,,,,,
m273_gpu3,gpu,utilization,,,,,,,,,,,,,,
m273_gpu4,gpu,utilization,,,,,,,,,,,,,,
m273_gpu5,gpu,utilization,,,,,,,,,,,,,,
m273_gpu6,gpu,utilization,,,,,,,,,,,,,,
m273_gpu7,gpu,utilization,,,,,,,,,,,,,,
m159_gpu0,gpu,utilization,,,,,,,,,,,,,,
m159_gpu1,gpu,utilization,,,,,,,,,,,,,,
m159_gpu2,gpu,utilization,,,,,,,,,,,,,,
m159_gpu3,gpu,utilization,,,,,,,,,,,,,,
m159_gpu4,gpu,utilization,,,,,,,,,,,,,,
m159_gpu5,gpu,utilization,,,,,,,,,,,,,,
m159_gpu6,gpu,utilization,,,,,,,,,,,,,,
m159_gpu7,gpu,utilization,,,,,,,,,,,,,,
