name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m331_gpu0,gpu,utilization,,,,,,,,,,,,,,
m331_gpu1,gpu,utilization,,,,,,,,,,,,,,
m331_gpu2,gpu,utilization,,,,,,,,,,,,,,
m331_gpu3,gpu,utilization,,,,,,,,,,,,,,
m331_gpu4,gpu,utilization,,,,,,,,,,,,,,
m331_gpu5,gpu,utilization,,,,,,,,,,,,,,
m331_gpu6,gpu,utilization,,,,,,,,,,,,,,
m331_gpu7,gpu,utilization,,,,,,,,,,,,,,
m82_gpu0,gpu,utilization,,,,,,,,,,,,,,
m82_gpu1,gpu,utilization,,,,,,,,,,,,,,
m82_gpu2,gpu,utilization,,,,,,,,,,,,,,
m82_gpu3,gpu,utilization,,,,,,,,,,,,,,
m82_gpu4,gpu,utilization,,,,,,,,,,,,,,
m82_gpu5,gpu,utilization,,,,,,,,,,,,,,
m82_gpu6,gpu,utilization,,,,,,,,,,,,,,
m82_gpu7,gpu,utilization,,,,,,,,,,,,,,
