name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m41_gpu0,gpu,utilization,,,,,,,,,,,,,,
m41_gpu1,gpu,utilization,,,,,,,,,,,,,,
m41_gpu2,gpu,utilization,,,,,,,,,,,,,,
m41_gpu3,gpu,utilization,,,,,,,,,,,,,,
m41_gpu4,gpu,utilization,,,,,,,,,,,,,,
m41_gpu5,gpu,utilization,,,,,,,,,,,,,,
m41_gpu6,gpu,utilization,,,,,,,,,,,,,,
m41_gpu7,gpu,utilization,,,,,,,,,,,,,,
m199_gpu0,gpu,utilization,,,,,,,,,,,,,,
m199_gpu1,gpu,utilization,,,,,,,,,,,,,,
m199_gpu2,gpu,utilization,,,,,,,,,,,,,,
m199_gpu3,gpu,utilization,,,,,,,,,,,,,,
m199_gpu4,gpu,utilization,,,,,,,,,,,,,,
m199_gpu5,gpu,utilization,,,,,,,,,,,,,,
m199_gpu6,gpu,utilization,,,,,,,,,,,,,,
m199_gpu7,gpu,utilization,,,,,,,,,,,,,,
m253_gpu0,gpu,utilization,,,,,,,,,,,,,,
m253_gpu1,gpu,utilization,,,,,,,,,,,,,,
m253_gpu2,gpu,utilization,,,,,,,,,,,,,,
m253_gpu3,gpu,utilization,,,,,,,,,,,,,,
m253_gpu4,gpu,utilization,,,,,,,,,,,,,,
m253_gpu5,gpu,utilization,,,,,,,,,,,,,,
m253_gpu6,gpu,utilization,,,,,,,,,,,,,,
m253_gpu7,gpu,utilization,,,,,,,,,,,,,,
m113_gpu0,gpu,utilization,,,,,,,,,,,,,,
m113_gpu1,gpu,utilization,,,,,,,,,,,,,,
m113_gpu2,gpu,utilization,,,,,,,,,,,,,,
m113_gpu3,gpu,utilization,,,,,,,,,,,,,,
m113_gpu4,gpu,utilization,,,,,,,,,,,,,,
m113_gpu5,gpu,utilization,,,,,,,,,,,,,,
m113_gpu6,gpu,utilization,,,,,,,,,,,,,,
m113_gpu7,gpu,utilization,,,,,,,,,,,,,,
m263_gpu0,gpu,utilization,,,,,,,,,,,,,,
m263_gpu1,gpu,utilization,,,,,,,,,,,,,,
m263_gpu2,gpu,utilization,,,,,,,,,,,,,,
m263_gpu3,gpu,utilization,,,,,,,,,,,,,,
m263_gpu4,gpu,utilization,,,,,,,,,,,,,,
m263_gpu5,gpu,utilization,,,,,,,,,,,,,,
m263_gpu6,gpu,utilization,,,,,,,,,,,,,,
m263_gpu7,gpu,utilization,,,,,,,,,,,,,,
m310_gpu0,gpu,utilization,,,,,,,,,,,,,,
m310_gpu1,gpu,utilization,,,,,,,,,,,,,,
m310_gpu2,gpu,utilization,,,,,,,,,,,,,,
m310_gpu3,gpu,utilization,,,,,,,,,,,,,,
m310_gpu4,gpu,utilization,,,,,,,,,,,,,,
m310_gpu5,gpu,utilization,,,,,,,,,,,,,,
m310_gpu6,gpu,utilization,,,,,,,,,,,,,,
m310_gpu7,gpu,utilization,,,,,,,,,,,,,,
m120_gpu0,gpu,utilization,,,,,,,,,,,,,,
m120_gpu1,gpu,utilization,,,,,,,,,,,,,,
m120_gpu2,gpu,utilization,,,,,,,,,,,,,,
m120_gpu3,gpu,utilization,,,,,,,,,,,,,,
m120_gpu4,gpu,utilization,,,,,,,,,,,,,,
m120_gpu5,gpu,utilization,,,,,,,,,,,,,,
m120_gpu6,gpu,utilization,,,,,,,,,,,,,,
m120_gpu7,gpu,utilization,,,,,,,,,,,,,,
m390_gpu0,gpu,utilization,,,,,,,,,,,,,,
m390_gpu1,gpu,utilization,,,,,,,,,,,,,,
m390_gpu2,gpu,utilization,,,,,,,,,,,,,,
m390_gpu3,gpu,utilization,,,,,,,,,,,,,,
m390_gpu4,gpu,utilization,,,,,,,,,,,,,,
m390_gpu5,gpu,utilization,,,,,,,,,,,,,,
m390_gpu6,gpu,utilization,,,,,,,,,,,,,,
m390_gpu7,gpu,utilization,,,,,,,,,,,,,,
