name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m33_gpu0,gpu,utilization,,,,,,,,,,,,,,
m33_gpu1,gpu,utilization,,,,,,,,,,,,,,
m33_gpu2,gpu,utilization,,,,,,,,,,,,,,
m33_gpu3,gpu,utilization,,,,,,,,,,,,,,
m33_gpu4,gpu,utilization,,,,,,,,,,,,,,
m33_gpu5,gpu,utilization,,,,,,,,,,,,,,
m33_gpu6,gpu,utilization,,,,,,,,,,,,,,
m33_gpu7,gpu,utilization,,,,,,,,,,,,,,
m350_gpu0,gpu,utilization,,,,,,,,,,,,,,
m350_gpu1,gpu,utilization,,,,,,,,,,,,,,
m350_gpu2,gpu,utilization,,,,,,,,,,,,,,
m350_gpu3,gpu,utilization,,,,,,,,,,,,,,
m350_gpu4,gpu,utilization,,,,,,,,,,,,,,
m350_gpu5,gpu,utilization,,,,,,,,,,,,,,
m350_gpu6,gpu,utilization,,,,,,,,,,,,,,
m350_gpu7,gpu,utilization,,,,,,,,,,,,,,
