name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m197_gpu0,gpu,utilization,,,,,,,,,,,,,,
m197_gpu1,gpu,utilization,,,,,,,,,,,,,,
m197_gpu2,gpu,utilization,,,,,,,,,,,,,,
m197_gpu3,gpu,utilization,,,,,,,,,,,,,,
m197_gpu4,gpu,utilization,,,,,,,,,,,,,,
m197_gpu5,gpu,utilization,,,,,,,,,,,,,,
m197_gpu6,gpu,utilization,,,,,,,,,,,,,,
m197_gpu7,gpu,utilization,,,,,,,,,,,,,,
m67_gpu0,gpu,utilization,,,,,,,,,,,,,,
m67_gpu1,gpu,utilization,,,,,,,,,,,,,,
m67_gpu2,gpu,utilization,,,,,,,,,,,,,,
m67_gpu3,gpu,utilization,,,,,,,,,,,,,,
m67_gpu4,gpu,utilization,,,,,,,,,,,,,,
m67_gpu5,gpu,utilization,,,,,,,,,,,,,,
m67_gpu6,gpu,utilization,,,,,,,,,,,,,,
m67_gpu7,gpu,utilization,,,,,,,,,,,,,,
m175_gpu0,gpu,utilization,,,,,,,,,,,,,,
m175_gpu1,gpu,utilization,,,,,,,,,,,,,,
m175_gpu2,gpu,utilization,,,,,,,,,,,,,,
m175_gpu3,gpu,utilization,,,,,,,,,,,,,,
m175_gpu4,gpu,utilization,,,,,,,,,,,,,,
m175_gpu5,gpu,utilization,,,,,,,,,,,,,,
m175_gpu6,gpu,utilization,,,,,,,,,,,,,,
m175_gpu7,gpu,utilization,,,,,,,,,,,,,,
m58_gpu0,gpu,utilization,,,,,,,,,,,,,,
m58_gpu1,gpu,utilization,,,,,,,,,,,,,,
m58_gpu2,gpu,utilization,,,,,,,,,,,,,,
m58_gpu3,gpu,utilization,,,,,,,,,,,,,,
m58_gpu4,gpu,utilization,,,,,,,,,,,,,,
m58_gpu5,gpu,utilization,,,,,,,,,,,,,,
m58_gpu6,gpu,utilization,,,,,,,,,,,,,,
m58_gpu7,gpu,utilization,,,,,,,,,,,,,,
m321_gpu0,gpu,utilization,,,,,,,,,,,,,,
m321_gpu1,gpu,utilization,,,,,,,,,,,,,,
m321_gpu2,gpu,utilization,,,,,,,,,,,,,,
m321_gpu3,gpu,utilization,,,,,,,,,,,,,,
m321_gpu4,gpu,utilization,,,,,,,,,,,,,,
m321_gpu5,gpu,utilization,,,,,,,,,,,,,,
m321_gpu6,gpu,utilization,,,,,,,,,,,,,,
m321_gpu7,gpu,utilization,,,,,,,,,,,,,,
m314_gpu0,gpu,utilization,,,,,,,,,,,,,,
m314_gpu1,gpu,utilization,,,,,,,,,,,,,,
m314_gpu2,gpu,utilization,,,,,,,,,,,,,,
m314_gpu3,gpu,utilization,,,,,,,,,,,,,,
m314_gpu4,gpu,utilization,,,,,,,,,,,,,,
m314_gpu5,gpu,utilization,,,,,,,,,,,,,,
m314_gpu6,gpu,utilization,,,,,,,,,,,,,,
m314_gpu7,gpu,utilization,,,,,,,,,,,,,,
m242_gpu0,gpu,utilization,,,,,,,,,,,,,,
m242_gpu1,gpu,utilization,,,,,,,,,,,,,,
m242_gpu2,gpu,utilization,,,,,,,,,,,,,,
m242_gpu3,gpu,utilization,,,,,,,,,,,,,,
m242_gpu4,gpu,utilization,,,,,,,,,,,,,,
m242_gpu5,gpu,utilization,,,,,,,,,,,,,,
m242_gpu6,gpu,utilization,,,,,,,,,,,,,,
m242_gpu7,gpu,utilization,,,,,,,,,,,,,,
m309_gpu0,gpu,utilization,,,,,,,,,,,,,,
m309_gpu1,gpu,utilization,,,,,,,,,,,,,,
m309_gpu2,gpu,utilization,,,,,,,,,,,,,,
m309_gpu3,gpu,utilization,,,,,,,,,,,,,,
m309_gpu4,gpu,utilization,,,,,,,,,,,,,,
m309_gpu5,gpu,utilization,,,,,,,,,,,,,,
m309_gpu6,gpu,utilization,,,,,,,,,,,,,,
m309_gpu7,gpu,utilization,,,,,,,,,,,,,,
