name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m102_gpu0,gpu,utilization,,,,,,,,,,,,,,
m102_gpu1,gpu,utilization,,,,,,,,,,,,,,
m102_gpu2,gpu,utilization,,,,,,,,,,,,,,
m102_gpu3,gpu,utilization,,,,,,,,,,,,,,
m102_gpu4,gpu,utilization,,,,,,,,,,,,,,
m102_gpu5,gpu,utilization,,,,,,,,,,,,,,
m102_gpu6,gpu,utilization,,,,,,,,,,,,,,
m102_gpu7,gpu,utilization,,,,,,,,,,,,,,
m1_gpu0,gpu,utilization,,,,,,,,,,,,,,
m1_gpu1,gpu,utilization,,,,,,,,,,,,,,
m1_gpu2,gpu,utilization,,,,,,,,,,,,,,
m1_gpu3,gpu,utilization,,,,,,,,,,,,,,
m1_gpu4,gpu,utilization,,,,,,,,,,,,,,
m1_gpu5,gpu,utilization,,,,,,,,,,,,,,
m1_gpu6,gpu,utilization,,,,,,,,,,,,,,
m1_gpu7,gpu,utilization,,,,,,,,,,,,,,
m384_gpu0,gpu,utilization,,,,,,,,,,,,,,
m384_gpu1,gpu,utilization,,,,,,,,,,,,,,
m384_gpu2,gpu,utilization,,,,,,,,,,,,,,
m384_gpu3,gpu,utilization,,,,,,,,,,,,,,
m384_gpu4,gpu,utilization,,,,,,,,,,,,,,
m384_gpu5,gpu,utilization,,,,,,,,,,,,,,
m384_gpu6,gpu,utilization,,,,,,,,,,,,,,
m384_gpu7,gpu,utilization,,,,,,,,,,,,,,
m171_gpu0,gpu,utilization,,,,,,,,,,,,,,
m171_gpu1,gpu,utilization,,,,,,,,,,,,,,
m171_gpu2,gpu,utilization,,,,,,,,,,,,,,
m171_gpu3,gpu,utilization,,,,,,,,,,,,,,
m171_gpu4,gpu,utilization,,,,,,,,,,,,,,
m171_gpu5,gpu,utilization,,,,,,,,,,,,,,
m171_gpu6,gpu,utilization,,,,,,,,,,,,,,
m171_gpu7,gpu,utilization,,,,,,,,,,,,,,
