name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m270_gpu0,gpu,utilization,,,,,,,,,,,,,,
m270_gpu1,gpu,utilization,,,,,,,,,,,,,,
m270_gpu2,gpu,utilization,,,,,,,,,,,,,,
m270_gpu3,gpu,utilization,,,,,,,,,,,,,,
m270_gpu4,gpu,utilization,,,,,,,,,,,,,,
m270_gpu5,gpu,utilization,,,,,,,,,,,,,,
m270_gpu6,gpu,utilization,,,,,,,,,,,,,,
m270_gpu7,gpu,utilization,,,,,,,,,,,,,,
m368_gpu0,gpu,utilization,,,,,,,,,,,,,,
m368_gpu1,gpu,utilization,,,,,,,,,,,,,,
m368_gpu2,gpu,utilization,,,,,,,,,,,,,,
m368_gpu3,gpu,utilization,,,,,,,,,,,,,,
m368_gpu4,gpu,utilization,,,,,,,,,,,,,,
m368_gpu5,gpu,utilization,,,,,,,,,,,,,,
m368_gpu6,gpu,utilization,,,,,,,,,,,,,,
m368_gpu7,gpu,utilization,,,,,,,,,,,,,,
m97_gpu0,gpu,utilization,,,,,,,,,,,,,,
m97_gpu1,gpu,utilization,,,,,,,,,,,,,,
m97_gpu2,gpu,utilization,,,,,,,,,,,,,,
m97_gpu3,gpu,utilization,,,,,,,,,,,,,,
m97_gpu4,gpu,utilization,,,,,,,,,,,,,,
m97_gpu5,gpu,utilization,,,,,,,,,,,,,,
m97_gpu6,gpu,utilization,,,,,,,,,,,,,,
m97_gpu7,gpu,utilization,,,,,,,,,,,,,,
m120_gpu0,gpu,utilization,,,,,,,,,,,,,,
m120_gpu1,gpu,utilization,,,,,,,,,,,,,,
m120_gpu2,gpu,utilization,,,,,,,,,,,,,,
m120_gpu3,gpu,utilization,,,,,,,,,,,,,,
m120_gpu4,gpu,utilization,,,,,,,,,,,,,,
m120_gpu5,gpu,utilization,,,,,,,,,,,,,,
m120_gpu6,gpu,utilization,,,,,,,,,,,,,,
m120_gpu7,gpu,utilization,,,,,,,,,,,,,,
m253_gpu0,gpu,utilization,,,,,,,,,,,,,,
m253_gpu1,gpu,utilization,,,,,,,,,,,,,,
m253_gpu2,gpu,utilization,,,,,,,,,,,,,,
m253_gpu3,gpu,utilization,,,,,,,,,,,,,,
m253_gpu4,gpu,utilization,,,,,,,,,,,,,,
m253_gpu5,gpu,utilization,,,,,,,,,,,,,,
m253_gpu6,gpu,utilization,,,,,,,,,,,,,,
m253_gpu7,gpu,utilization,,,,,,,,,,,,,,
m395_gpu0,gpu,utilization,,,,,,,,,,,,,,
m395_gpu1,gpu,utilization,,,,,,,,,,,,,,
m395_gpu2,gpu,utilization,,,,,,,,,,,,,,
m395_gpu3,gpu,utilization,,,,,,,,,,,,,,
m395_gpu4,gpu,utilization,,,,,,,,,,,,,,
m395_gpu5,gpu,utilization,,,,,,,,,,,,,,
m395_gpu6,gpu,utilization,,,,,,,,,,,,,,
m395_gpu7,gpu,utilization,,,,,,,,,,,,,,
m112_gpu0,gpu,utilization,,,,,,,,,,,,,,
m112_gpu1,gpu,utilization,,,,,,,,,,,,,,
m112_gpu2,gpu,utilization,,,,,,,,,,,,,,
m112_gpu3,gpu,utilization,,,,,,,,,,,,,,
m112_gpu4,gpu,utilization,,,,,,,,,,,,,,
m112_gpu5,gpu,utilization,,,,,,,,,,,,,,
m112_gpu6,gpu,utilization,,,,,,,,,,,,,,
m112_gpu7,gpu,utilization,,,,,,,,,,,,,,
m283_gpu0,gpu,utilization,,,,,,,,,,,,,,
m283_gpu1,gpu,utilization,,,,,,,,,,,,,,
m283_gpu2,gpu,utilization,,,,,,,,,,,,,,
m283_gpu3,gpu,utilization,,,,,,,,,,,,,,
m283_gpu4,gpu,utilization,,,,,,,,,,,,,,
m283_gpu5,gpu,utilization,,,,,,,,,,,,,,
m283_gpu6,gpu,utilization,,,,,,,,,,,,,,
m283_gpu7,gpu,utilization,,,,,,,,,,,,,,
