name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m368_gpu0,gpu,utilization,,,,,,,,,,,,,,
m368_gpu1,gpu,utilization,,,,,,,,,,,,,,
m368_gpu2,gpu,utilization,,,,,,,,,,,,,,
m368_gpu3,gpu,utilization,,,,,,,,,,,,,,
m368_gpu4,gpu,utilization,,,,,,,,,,,,,,
m368_gpu5,gpu,utilization,,,,,,,,,,,,,,
m368_gpu6,gpu,utilization,,,,,,,,,,,,,,
m368_gpu7,gpu,utilization,,,,,,,,,,,,,,
m97_gpu0,gpu,utilization,,,,,,,,,,,,,,
m97_gpu1,gpu,utilization,,,,,,,,,,,,,,
m97_gpu2,gpu,utilization,,,,,,,,,,,,,,
m97_gpu3,gpu,utilization,,,,,,,,,,,,,,
m97_gpu4,gpu,utilization,,,,,,,,,,,,,,
m97_gpu5,gpu,utilization,,,,,,,,,,,,,,
m97_gpu6,gpu,utilization,,,,,,,,,,,,,,
m97_gpu7,gpu,utilization,,,,,,,,,,,,,,
m270_gpu0,gpu,utilization,,,,,,,,,,,,,,
m270_gpu1,gpu,utilization,,,,,,,,,,,,,,
m270_gpu2,gpu,utilization,,,,,,,,,,,,,,
m270_gpu3,gpu,utilization,,,,,,,,,,,,,,
m270_gpu4,gpu,utilization,,,,,,,,,,,,,,
m270_gpu5,gpu,utilization,,,,,,,,,,,,,,
m270_gpu6,gpu,utilization,,,,,,,,,,,,,,
m270_gpu7,gpu,utilization,,,,,,,,,,,,,,
m395_gpu0,gpu,utilization,,,,,,,,,,,,,,
m395_gpu1,gpu,utilization,,,,,,,,,,,,,,
m395_gpu2,gpu,utilization,,,,,,,,,,,,,,
m395_gpu3,gpu,utilization,,,,,,,,,,,,,,
m395_gpu4,gpu,utilization,,,,,,,,,,,,,,
m395_gpu5,gpu,utilization,,,,,,,,,,,,,,
m395_gpu6,gpu,utilization,,,,,,,,,,,,,,
m395_gpu7,gpu,utilization,,,,,,,,,,,,,,
