name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m69_gpu0,gpu,utilization,,,,,,,,,,,,,,
m69_gpu1,gpu,utilization,,,,,,,,,,,,,,
m69_gpu2,gpu,utilization,,,,,,,,,,,,,,
m69_gpu3,gpu,utilization,,,,,,,,,,,,,,
m69_gpu4,gpu,utilization,,,,,,,,,,,,,,
m69_gpu5,gpu,utilization,,,,,,,,,,,,,,
m69_gpu6,gpu,utilization,,,,,,,,,,,,,,
m69_gpu7,gpu,utilization,,,,,,,,,,,,,,
m320_gpu0,gpu,utilization,,,,,,,,,,,,,,
m320_gpu1,gpu,utilization,,,,,,,,,,,,,,
m320_gpu2,gpu,utilization,,,,,,,,,,,,,,
m320_gpu3,gpu,utilization,,,,,,,,,,,,,,
m320_gpu4,gpu,utilization,,,,,,,,,,,,,,
m320_gpu5,gpu,utilization,,,,,,,,,,,,,,
m320_gpu6,gpu,utilization,,,,,,,,,,,,,,
m320_gpu7,gpu,utilization,,,,,,,,,,,,,,
