IncidentId,EntityType,Tier,NGSvsMSAssetName_mv,HighInterfaceLinkUtilization_pers_1h,VoltageError_mv,LineCardDown_pers_1h,LinkStatus_pers_1h,ServerTorInterfaceErrorsCountThreshold_pers_1h,NGSDuplicateStaticIP_mv
223,switch,t1,0.930471102101158,0.2445464721277823,0.799479386577309,0.2729510181254342,0.5670943963472583,0.2887972397862905,0.7899932173044528
223,cluster_switch,t0,0.4084101767382704,0.2924423088232418,0.3920005407414407,0.99529346370604,0.9655148431304882,0.0037302345626792,0.531058435194
223,tor_switch,t0,0.7991148888423776,0.9867119216579804,0.0722755712842115,0.5450173583993535,0.3904493509161575,0.9372665693868292,0.5228094246985484
223,cluster_switch,t0,0.9333677072982454,0.4457283958874203,0.0478699979743114,0.9690033060757908,0.4458429077796749,0.0576315594283857,0.5880320476306062
223,switch,t0,0.9959179000190628,0.0990402686273292,0.4297019255555696,0.338696657306495,0.9380862462930982,0.2447106093863293,0.0243751616319121
223,switch,t0,0.4390583515287347,0.8145901110957982,0.8684059262684093,0.354067876802959,0.1767248192470631,0.8242883136923574,0.883228588179061
223,tor_switch,t0,0.7569441784819716,0.7234630665509124,0.0450518262390814,0.7563617450633728,0.466209703763786,0.0266170599150196,0.5027156353812803
223,cluster_switch,t0,0.1117387198245599,0.3290366338530881,0.13933717805834,0.3975960515689467,0.5957965810327465,0.1022187221432981,0.5004072318320084
223,tor_switch,t0,0.5188393936217304,0.8988211561132892,0.579496593341577,0.2627659172559533,0.0628847324942116,0.4353202648314951,0.8040867548542864
237,cluster_switch,t1,0.8361208014305851,0.9340838424828194,0.5288093597780499,0.8322959932012927,0.3655183904284712,0.4356024036068008,0.1776039235649291
237,switch,t2,0.3481264134792654,0.830774073770786,0.5196475280846171,0.8086422404833615,0.0618605137537237,0.7411354431284852,0.794082551082621
237,switch,t3,0.5544490524093924,0.3590704040598226,0.2648934505292903,0.0792511880815208,0.3709418387796255,0.9342389838467822,0.8824374928017775
237,switch,t1,0.8505958260987347,0.0225403236940835,0.758652845761999,0.8610535207602007,0.7757883590928951,0.7057374781206309,0.5824002750688491
237,tor_switch,t0,0.125851217361094,0.0134924755299876,0.4204008336697443,0.7125955776291215,0.5164426442923404,0.1039696736545837,0.1453757240760368
