,IncidentId,EntityType,Tier,GraphMissingSerialConsole_mv,VoltageError_mv,DefaultRouteMismatch_mv,IBLinkErrorRecovery_mv,SNMPHighMemory_mv,NGSvsMSAssetName_mv,BadOSVersion_pers_1h,SnmpReachability_mv,ServerTorFCSErrors_pers_1h,SpanTreeErrors_mv,JuniperSSGStateChange_mv,DupManagementIP_mv
0,223,switch,t0,0.8181477659140083,0.799479386577309,0.2643486509191494,0.1364494557249601,0.9666095908661876,0.930471102101158,0.9332232160811956,0.0559503713221485,0.8943384696466945,0.8898781261233378,,
1,223,tor_switch,t0,0.0120500989590226,0.0722755712842115,0.1883773184081337,0.1599575404115619,0.1424531295073591,0.7991148888423776,0.5141409077490484,0.675996932320511,0.9911506035225072,0.0704104426496105,,
2,223,cluster_switch,t0,0.2003996663284913,0.0478699979743114,0.5857509158238315,0.0358256151788336,0.8878337296391102,0.9333677072982454,0.4994044259423592,0.3661404168348547,0.36793218160492,0.4122921592856271,,
3,223,tor_switch,t0,0.7098308809775044,0.0450518262390814,0.2119031795587603,0.4955973562159359,0.7041951337153278,0.7569441784819716,0.7715657624316381,0.7929917326650965,0.4836575874806722,0.9397067698162548,,
4,223,tor_switch,t0,0.8859153841593571,0.579496593341577,0.3947184291438312,0.0395587033300031,0.6396127169912256,0.5188393936217304,0.0608530056118353,0.1932899408341417,0.8763111381634909,0.4661029545290791,,
5,237,cluster_switch,t0,0.0986403701559257,0.5288093597780499,0.8946091272785793,0.3258444812640239,0.2330059124183137,0.8361208014305851,0.7829075576947633,0.2679473396520717,0.5633795352888432,0.5950146364924335,,
6,237,switch,t0,0.7735797156234236,0.5196475280846171,0.7720601787868772,0.9580426760933798,0.9610048404642448,0.3481264134792654,0.3796795381979031,0.8512630718959633,0.7089473753519113,0.2043320592508085,,
7,237,switch,t0,0.0358224773279548,0.758652845761999,0.5825801680122947,0.1371776235826319,0.2339688584055459,0.8505958260987347,0.7872086904802774,0.3552882278343829,0.979206336080194,0.355931009502785,,
8,237,tor_switch,t0,0.0145049992377165,0.4204008336697443,0.9456209522756162,0.9640955673857676,0.0575473950795795,0.125851217361094,0.8818192141013099,0.6913262650392225,0.0435460056890015,0.1070073720285764,,
9,237,cluster_switch,t0,0.550572932618619,0.8996306142186823,0.2559140017322805,0.2481473522508912,0.8837193046755213,0.754107747161568,0.5111714300758674,0.9360858903053434,0.6434421919687673,0.8292497847569595,,
10,155,switch,t0,0.0371733791102165,0.328632467111608,0.0486308192487627,0.8575384842344025,0.5468373957565013,0.8128356786706348,0.1397996354687906,0.1075087910594195,0.0338101104432937,0.130330794298313,,
11,155,tor_switch,t0,0.8100165833781998,0.0035441653952972,0.3735608912463308,0.442311187495887,0.2779825961943866,0.3519625787121344,0.5834665677893743,0.9838442898362848,0.6229012476685019,0.4687511706508283,,
12,155,switch,t0,0.4638197381347505,0.7748085557677911,0.9379480723584408,0.8971196247262025,0.605284438683004,0.1509023980479236,0.9736287473183614,0.0199126810869079,0.2204925374332929,0.5020643859548692,,
13,155,cluster_switch,t0,0.9268943605667516,0.9399667770374224,0.9688777769155796,0.8017475836852801,0.1318162434466583,0.1426031230272985,0.9696030473308028,0.8818879487243568,0.997389639578436,0.9717590077968488,,
