,IncidentId,EntityType,Tier,HighInterfaceUtilT3WAN_mv,NoGoldConfig_mv,GraphMissingSerialConsole_mv,FIBErrors_mv,NGSvsLLDPt1t2_mv,DupStaticIP_mv,NGSvsMSAssetName_pers_1h
0,223,switch,t0,0.3730537221644713,0.2465873317137749,0.8181477659140083,0.2148412425401284,0.3442652340253408,,
1,223,tor_switch,t0,0.8010472668167606,0.168863350454219,0.0120500989590226,0.6480330735638455,0.4385212710223301,,
2,223,cluster_switch,t0,0.3723410083183137,0.2465083502641522,0.2003996663284913,0.9616956627373796,0.1230309444207848,,
3,223,tor_switch,t0,0.0104642778344804,0.1516633964573656,0.7098308809775044,0.8869744458524118,0.5400681712964432,,
4,223,tor_switch,t0,0.0871879537491282,0.9144937812416748,0.8859153841593571,0.3772379015445506,0.6014241339766679,,
5,237,cluster_switch,t0,0.9100889290021312,0.3731108643367563,0.0986403701559257,0.4373418548317721,0.9651889303477192,,
6,237,switch,t0,0.4481739291176262,0.9202991241089556,0.7735797156234236,0.9238469386353652,0.3505069628386967,,
7,237,switch,t0,0.7145879071514679,0.7242208096894752,0.0358224773279548,0.3878503062712507,0.8124368653544808,,
8,237,tor_switch,t0,0.7146959395814585,0.8627047188303334,0.0145049992377165,0.7626585308855849,0.1090746688551052,,
9,237,cluster_switch,t0,0.8027095949859748,0.4378709713333691,0.550572932618619,0.82251452654867,0.1958930806761567,,
10,155,switch,t0,0.0566168160517456,0.9919187497851096,0.0371733791102165,0.6599858366528525,0.3658458638016585,,
11,155,tor_switch,t0,0.8135777019350421,0.6050685419560995,0.8100165833781998,0.1464716367597763,0.2477056549510073,,
12,155,switch,t0,0.2377951759539593,0.0719565712669215,0.4638197381347505,0.3263975640473396,0.6434137457086788,,
13,155,cluster_switch,t0,0.694512862970972,0.1713353242868666,0.9268943605667516,0.6646193530435704,0.065265228922413,,
14,155,tor_switch,t0,0.423590262620539,0.7083913292233411,0.8900367596202824,0.6692372148605846,0.2510056108608718,,
15,141,tor_switch,t0,0.6656877253728967,0.9633118855124412,0.8451416506222216,0.9628821673654095,0.4183596619781333,,
16,141,tor_switch,t0,0.5279159738298085,0.5782082149906502,0.7882816742933714,0.9139336293910184,0.4830246327170997,,
17,141,switch,t0,0.3515186502158633,0.6510310805605091,0.4417434830249237,0.8973632300866827,0.7420703366264324,,
18,141,switch,t0,0.8294135774410354,0.9020861008625344,0.5380069260046089,0.774923100540374,0.8496235752983652,,
19,141,tor_switch,t0,0.2732413742568623,0.765624938251794,0.5807565466416927,0.2067585291776256,0.0183741361231084,,
20,141,tor_switch,t0,0.4844964388183714,0.7915475440740473,0.2519708141628183,0.6814012328273887,0.7836193732168213,,
21,141,cluster_switch,t0,0.7683498412205386,0.8149308183550612,0.769346182502649,0.1808795804071354,0.6405870148797934,,
22,141,tor_switch,t0,0.8305334667764697,0.6920108977386681,0.8371680506853564,0.7888160711409028,0.5800194129821695,,
23,169,tor_switch,t0,0.2250384925715477,0.4594909357325786,0.2476679574657602,0.5290735816196207,0.0966206852334218,,
24,169,tor_switch,t0,0.2319155230039451,0.338009195541554,0.9770318959104202,0.8290582066277398,0.2763250704958513,,
25,169,cluster_switch,t0,0.996413204950422,0.0778248039799051,0.1057094409414841,0.6698501971888724,0.4754179673503412,,
26,169,cluster_switch,t0,0.9143289378868168,0.7827720110292772,0.0159651440646662,0.4442982292414182,0.81431254537823,,
27,223,cluster_switch,t1,,,,,,0.6588691170004054,0.9919811448158798
28,223,switch,t1,,,,,,0.7490104605586241,0.6076171587240898
29,223,switch,t1,,,,,,0.5149644344743594,0.2679829879587948
30,223,cluster_switch,t1,,,,,,0.9907949799288428,0.4614633036256622
31,237,switch,t1,,,,,,0.9943472244561316,0.103937660287936
32,155,cluster_switch,t1,,,,,,0.9774403530948508,0.5974404656597604
33,141,cluster_switch,t1,,,,,,0.9626925676807612,0.3144933118778914
34,169,cluster_switch,t1,,,,,,0.0708299521229153,0.055018546112288
