,IncidentId,EntityType,Tier,LineCardDown_pers_1h,PhynetInterfaceErrorsCountThreshold_pers_1h,SoftwareErrors_mv,PortExhaustion_mv,HighInterfaceLinkUtilization_pers_1h,IBLinkErrorRecovery_mv,HighInterfaceUtilT3WAN_pers_1h,VRRPStateChange_mv,defaultMTUSize_pers_1h,HighInterfaceUtilT0T2_mv
0,223,cluster_switch,t0,0.9690033060757908,0.9159037982630184,,,,,,,,
1,237,cluster_switch,t0,0.8322959932012927,0.3763413358676457,,,,,,,,
2,237,cluster_switch,t0,0.2139644050787614,0.9603326967912592,,,,,,,,
3,155,cluster_switch,t0,0.015892634080823,0.0021316126306611,,,,,,,,
4,141,cluster_switch,t0,0.0645993477684304,0.2432549293730084,,,,,,,,
5,169,cluster_switch,t0,0.6279145083498674,0.7541057439720686,,,,,,,,
6,169,cluster_switch,t0,0.1780876330155906,0.1360100264795959,,,,,,,,
7,223,cluster_switch,t1,,,0.9093614288780962,0.9821374598254708,,,,,,
8,223,cluster_switch,t1,,,0.8107908817055911,0.878435888754024,,,,,,
9,155,cluster_switch,t1,,,0.1025394457929795,0.1489788269865495,,,,,,
10,141,cluster_switch,t1,,,0.9254407883549152,0.9517380164119164,,,,,,
11,169,cluster_switch,t1,,,0.0180948609574476,0.3554199733311506,,,,,,
12,223,switch,t0,,,,,0.2445464721277823,0.1364494557249601,,,,
13,237,switch,t0,,,,,0.830774073770786,0.9580426760933798,,,,
14,237,switch,t0,,,,,0.0225403236940835,0.1371776235826319,,,,
15,155,switch,t0,,,,,0.7676757058674725,0.8575384842344025,,,,
16,155,switch,t0,,,,,0.1540830454962911,0.8971196247262025,,,,
17,141,switch,t0,,,,,0.9604948586163587,0.9606431185104306,,,,
18,141,switch,t0,,,,,0.9508770141660516,0.792245703618234,,,,
19,223,switch,t1,,,,,,,0.0380766791058985,0.040527002110652,,
20,223,switch,t1,,,,,,,0.8771490377986615,0.9754703089640828,,
21,237,switch,t1,,,,,,,0.9975426422122444,0.8170055480349668,,
22,223,tor_switch,t0,,,,,,,,,0.7238921286882685,0.8899505237004267
23,223,tor_switch,t0,,,,,,,,,0.033741160942787,0.208441733599847
24,223,tor_switch,t0,,,,,,,,,0.8847907267409761,0.8226897074663434
25,237,tor_switch,t0,,,,,,,,,0.1755257620225598,0.1367059593433094
26,155,tor_switch,t0,,,,,,,,,0.943566947853288,0.8902706331137171
27,155,tor_switch,t0,,,,,,,,,0.8391387269606178,0.2374679253172816
28,141,tor_switch,t0,,,,,,,,,0.2650721649248168,0.2273526609369367
29,141,tor_switch,t0,,,,,,,,,0.7635859284370987,0.3651269357463459
30,141,tor_switch,t0,,,,,,,,,0.9709974567001584,0.8817588941585384
31,141,tor_switch,t0,,,,,,,,,0.2726273933898714,0.4161334926325363
32,141,tor_switch,t0,,,,,,,,,0.4654769835749028,0.2798489856699888
33,169,tor_switch,t0,,,,,,,,,0.5043110989825693,0.6733389439346755
34,169,tor_switch,t0,,,,,,,,,0.9789235020199648,0.8261379537339175
