,IncidentId,EntityType,Tier,BGPHoldTimer_pers_1h,HighInterfaceLinkUtilization_pers_1h,DupDeviceName_mv,defaultMTUSize_pers_1h,HighInterfaceUtilT0T2_mv
0,223,cluster_switch,t1,0.9170645577013044,0.2924423088232418,,,
1,223,cluster_switch,t0,0.3454411306889507,0.4457283958874203,,,
2,223,cluster_switch,t1,0.8648078292006343,0.3290366338530881,,,
3,237,cluster_switch,t0,0.2919160527115788,0.9340838424828194,,,
4,237,cluster_switch,t0,0.1811012116739909,0.7956835296465771,,,
5,155,cluster_switch,t0,0.4536925612001664,0.690776872800692,,,
6,155,cluster_switch,t1,0.8898724804319367,0.1035410024895308,,,
7,141,cluster_switch,t1,0.8085018553715654,0.1253180382313213,,,
8,141,cluster_switch,t0,0.9163491558953284,0.2857205191011878,,,
9,169,cluster_switch,t1,0.8603257068761747,0.1550991703654787,,,
10,169,cluster_switch,t0,0.0420669508647524,0.9665459770991356,,,
11,169,cluster_switch,t0,0.3148688344778813,0.4222736728260327,,,
12,223,switch,t0,,0.2445464721277823,0.5692400758788918,,
13,223,switch,t1,,0.0990402686273292,0.913658265264685,,
14,223,switch,t1,,0.8145901110957982,0.293457317777388,,
15,237,switch,t0,,0.830774073770786,0.3049880496240339,,
16,237,switch,t1,,0.3590704040598226,0.7469290257616418,,
17,237,switch,t0,,0.0225403236940835,0.8549710838325276,,
18,237,switch,t2,,0.4994767414743327,0.2347681463896909,,
19,155,switch,t0,,0.7676757058674725,0.3196965264887936,,
20,155,switch,t2,,0.1565651866285695,0.9621919520208148,,
21,155,switch,t0,,0.1540830454962911,0.93854456675442,,
22,141,switch,t0,,0.9604948586163587,0.1641976053716158,,
23,141,switch,t0,,0.9508770141660516,0.7613704233612288,,
24,223,tor_switch,t0,,,,0.7238921286882685,0.8899505237004267
25,223,tor_switch,t0,,,,0.033741160942787,0.208441733599847
26,223,tor_switch,t0,,,,0.8847907267409761,0.8226897074663434
27,237,tor_switch,t0,,,,0.1755257620225598,0.1367059593433094
28,155,tor_switch,t0,,,,0.943566947853288,0.8902706331137171
29,155,tor_switch,t0,,,,0.8391387269606178,0.2374679253172816
30,141,tor_switch,t0,,,,0.2650721649248168,0.2273526609369367
31,141,tor_switch,t0,,,,0.7635859284370987,0.3651269357463459
32,141,tor_switch,t0,,,,0.9709974567001584,0.8817588941585384
33,141,tor_switch,t0,,,,0.2726273933898714,0.4161334926325363
34,141,tor_switch,t0,,,,0.4654769835749028,0.2798489856699888
35,169,tor_switch,t0,,,,0.5043110989825693,0.6733389439346755
36,169,tor_switch,t0,,,,0.9789235020199648,0.8261379537339175
