,IncidentId,EntityType,Tier,BGPGlobalShutDown_pers_1h,FIBErrors_pers_1h,JuniperSSGStateChange_mv,NtpError_mv,SpanTreeErrors_pers_1h,ExEraseExecutions_pers_1h,HighInterfaceUtilT0T2_mv
0,223,switch,t0,0.6551014356524296,0.7754164294254942,0.2422629939579086,0.8418606359518581,0.9356947083043934,,
1,223,tor_switch,t0,0.1513994874475549,0.6178350628334313,0.7241025519653205,0.4057378381547926,0.5035116317434174,,
2,223,cluster_switch,t0,0.3889392673060249,0.2003005322560855,0.3217110345627094,0.7428196581293685,0.2278316407498226,,
3,223,tor_switch,t0,0.4896118797629339,0.9226509415675794,0.6131265211872067,0.2436823618410828,0.2481339285933288,,
4,223,tor_switch,t0,0.2017791562835654,0.5586931803212881,0.0720962244409543,0.9293010905190404,0.5902548980725928,,
5,237,cluster_switch,t0,0.1583680916462919,0.7590131307974604,0.678529391506609,0.8392564937739094,0.730782117663068,,
6,237,switch,t0,0.4189381244327952,0.0517550124804754,0.1123131254939444,0.9384843481016832,0.0339851260457327,,
7,237,switch,t0,0.4572929996927664,0.1033263792103298,0.071354443448538,0.6124425570693598,0.6098665929593211,,
8,237,tor_switch,t0,0.7942657212591123,0.1999167350972228,0.6795678781218334,0.4476165001581235,0.2563585878467682,,
9,237,cluster_switch,t0,0.5028390777100712,0.6020679400342832,0.1823337040616837,0.8364313434448788,0.954068963230546,,
10,155,switch,t0,0.0599473257920916,0.617646462366608,0.7776389352951187,0.2660456782353414,0.3707605032894387,,
11,155,tor_switch,t0,0.0711982015028553,0.2437213232833528,0.6758434174225333,0.8701565707377377,0.2799154141856355,,
12,155,switch,t0,0.8248613802101263,0.2868631773529552,0.0671220967667343,0.6695018013381836,0.173811973176144,,
13,155,cluster_switch,t0,0.308265499051398,0.9384129854775194,0.2955966821340103,0.7252616195289889,0.9582481245561116,,
14,155,tor_switch,t0,0.5116211337329618,0.9901451952759012,0.0477225225898397,0.8756377956267478,0.6801766831719278,,
15,141,tor_switch,t0,0.6839594553501398,0.8966137157514561,0.7552179684268963,0.1157173578273594,0.217987857275505,,
16,141,tor_switch,t0,0.0454823429236409,0.408992806345807,0.0988460637426227,0.3295798936182944,0.115703497452549,,
17,141,switch,t0,0.049595472827197,0.6752628244803326,0.9692873837391264,0.6001292320906642,0.9941827364731338,,
18,141,switch,t0,0.5370043338062538,0.8007608005745409,0.2985850082750634,0.7399870080824066,0.8139899962731172,,
19,141,tor_switch,t0,0.587280504600599,0.4031437015699273,0.7815510612318495,0.7019700283225111,0.8759911981348063,,
20,141,tor_switch,t0,0.0305792932377303,0.2739356221234236,0.2058899118234591,0.5787036454451501,0.0499320802050766,,
21,141,cluster_switch,t0,0.8077561428869067,0.9952288285105771,0.5879340362952117,0.6102266650788993,0.0975831912825677,,
22,141,tor_switch,t0,0.3640585597932301,0.4664075509102515,0.0719474141838342,0.822479784826986,0.1768562051835336,,
23,169,tor_switch,t0,0.5639434575982324,0.3003433402371246,0.0695911381929778,0.3037858297099089,0.0246891442469096,,
24,169,tor_switch,t0,0.0626351042703667,0.2714870694863283,0.6553470107879277,0.1591237931344324,0.3751579810212563,,
25,169,cluster_switch,t0,0.5380483807166067,0.7029336796169575,0.1578757820716043,0.9909144451117384,0.0790099711192892,,
26,169,cluster_switch,t0,0.9216000923248991,0.981015065239815,0.9776081077364714,0.7179091244323987,0.8192508093732026,,
27,223,cluster_switch,t1,,,,,,0.119114620712653,0.1419984892520853
28,223,switch,t1,,,,,,0.4536230724856964,0.6580532681574536
29,223,switch,t1,,,,,,0.0177749278245289,0.5649900666588004
30,223,cluster_switch,t1,,,,,,0.5234481844238751,0.3089134657301637
31,237,switch,t1,,,,,,0.7843520945312045,0.9499768169473618
32,155,cluster_switch,t1,,,,,,0.731878731310532,0.6739137680536754
33,141,cluster_switch,t1,,,,,,0.9813749313622928,0.3670752405547435
34,169,cluster_switch,t1,,,,,,0.8064993322753401,0.9735966970065102
