,IncidentId,EntityType,Tier,ISISDown_mv,ServerTorPktDiscards_pers_1h,ProcessShutdown_mv,DupDeviceName_mv,OSPFDown_pers_1h,LPMUtilization_mv,TooManyT1sDown_pers_1h,ServerTorInterfaceErrorsPercentageThreshold_pers_1h,DeviceReload_mv
0,223,cluster_switch,t0,0.3415650759971376,0.0447285260637665,,,,,,,
1,237,cluster_switch,t0,0.1406489422949289,0.5579158002612662,,,,,,,
2,237,cluster_switch,t0,0.9272609221310728,0.6551473610525257,,,,,,,
3,155,cluster_switch,t0,0.2793118350357054,0.9870556144402876,,,,,,,
4,141,cluster_switch,t0,0.2318533121983227,0.6944005996053534,,,,,,,
5,169,cluster_switch,t0,0.7540090059243044,0.6467094345875872,,,,,,,
6,169,cluster_switch,t0,0.1877658832643548,0.9250271790581874,,,,,,,
7,223,cluster_switch,t1,,0.1823435456770973,0.9652586601891652,,,,,,
8,223,cluster_switch,t1,,0.8829466943511919,0.5127277670307334,,,,,,
9,155,cluster_switch,t1,,0.9085257603205612,0.549006149525262,,,,,,
10,141,cluster_switch,t1,,0.6082591828430367,0.7454782600688514,,,,,,
11,169,cluster_switch,t1,,0.8666712325186712,0.6288101121974686,,,,,,
12,223,switch,t0,,,,0.5692400758788918,0.0384175781790216,,,,
13,237,switch,t0,,,,0.3049880496240339,0.5764636376766672,,,,
14,237,switch,t0,,,,0.8549710838325276,0.6150578865169833,,,,
15,155,switch,t0,,,,0.3196965264887936,0.2663780301319929,,,,
16,155,switch,t0,,,,0.93854456675442,0.3368014742820993,,,,
17,141,switch,t0,,,,0.1641976053716158,0.0506391747883694,,,,
18,141,switch,t0,,,,0.7613704233612288,0.900096484936242,,,,
19,223,switch,t1,,,,,,0.74592379026955,0.0198421461051819,,
20,223,switch,t1,,,,,,0.4947628914018939,0.8130960389674436,,
21,237,switch,t1,,,,,,0.7523124190007422,0.5952075449117536,,
22,223,tor_switch,t0,,,,,,,,0.1258046813820648,0.5883248101459152
23,223,tor_switch,t0,,,,,,,,0.8329009210913181,0.8464231618300082
24,223,tor_switch,t0,,,,,,,,0.1747040709067115,0.9094153245804614
25,237,tor_switch,t0,,,,,,,,0.3832350345313289,0.8725845464561792
26,155,tor_switch,t0,,,,,,,,0.0629607892791764,0.4631095488757222
27,155,tor_switch,t0,,,,,,,,0.529480810482221,0.2866441563862058
28,141,tor_switch,t0,,,,,,,,0.4813958097422962,0.5451542212393719
29,141,tor_switch,t0,,,,,,,,0.3337325958249274,0.6155294834671658
30,141,tor_switch,t0,,,,,,,,0.0657420249399689,0.125054920995043
31,141,tor_switch,t0,,,,,,,,0.6139873491387704,0.4054400183963754
32,141,tor_switch,t0,,,,,,,,0.4686595793206748,0.9483454347309792
33,169,tor_switch,t0,,,,,,,,0.6123265788033123,0.1534565975366151
34,169,tor_switch,t0,,,,,,,,0.1004600386738058,0.2850357008657707
