,IncidentId,EntityType,Tier,DeviceDown_pers_1h,HighInterfaceUtilT3WAN_pers_1h,MaxprefixThr_mv,PowerSupplyRedundancy_pers_1h,IBLinkDown_mv,MemErrors_pers_1h,ServerTorInterfaceFlaps_pers_1h,FanFailure_pers_1h,HSRPStateChange_mv,SnmpCpu_pers_1h,NetscanPayloadAlertPodSetPaths_mv,ServerTorFCSErrors_pers_1h,GraphMissingMgmt_pers_1h,IBCongestedBandwidth_mv,LineCardDown_mv,NGSvsLLDPt1t2_pers_1h,NetscanPayloadPodSetPaths_mv,ProcessShutdown_pers_1h,SpanTreeErrors_mv
0,223,cluster_switch,t0,0.511622615560981,0.6404132688609966,0.8810476607974121,0.6763018086905215,,,,,,,,,,,,,,,
1,237,cluster_switch,t0,0.0864401120374321,0.326618429090446,0.2955799093529214,0.9925577318692436,,,,,,,,,,,,,,,
2,237,cluster_switch,t0,0.8286068002750868,0.7502574429817719,0.3118226563887478,0.0034522474984554,,,,,,,,,,,,,,,
3,155,cluster_switch,t0,0.1431554385006509,0.8405761053285397,0.9232001665508264,0.113658077229705,,,,,,,,,,,,,,,
4,141,cluster_switch,t0,0.0214258220727332,0.5831963242451565,0.3922801828805434,0.1535662622801837,,,,,,,,,,,,,,,
5,169,cluster_switch,t0,0.5254002690266804,0.0248602426718617,0.9677644981228344,0.535328282787113,,,,,,,,,,,,,,,
6,169,cluster_switch,t0,0.3032481143940069,0.4231317430133988,0.2490376541835997,0.6438887696998586,,,,,,,,,,,,,,,
7,223,cluster_switch,t1,,,,,0.9062430044236456,0.2371758547087401,0.2188618990156808,,,,,,,,,,,,
8,223,cluster_switch,t1,,,,,0.0696120389867568,0.352592987014479,0.2496391816969837,,,,,,,,,,,,
9,155,cluster_switch,t1,,,,,0.8358149780961516,0.1802962242332055,0.8909528768257,,,,,,,,,,,,
10,141,cluster_switch,t1,,,,,0.6056221434194626,0.5630313902231001,0.3395676207073616,,,,,,,,,,,,
11,169,cluster_switch,t1,,,,,0.7035280360808205,0.9262047628138572,0.2096319805898306,,,,,,,,,,,,
12,223,switch,t0,,,,,0.5081384992869815,,,0.5628129203839807,0.6662831266286805,0.837541421290354,,,,,,,,,
13,237,switch,t0,,,,,0.5547751565186924,,,0.6547524816153993,0.8999275776678587,0.0561456847604248,,,,,,,,,
14,237,switch,t0,,,,,0.7159684365409482,,,0.7267826456679379,0.5479968479925489,0.9473129298405966,,,,,,,,,
15,155,switch,t0,,,,,0.1907791031255726,,,0.5274036811225405,0.601036182368683,0.4256873712030742,,,,,,,,,
16,155,switch,t0,,,,,0.1345069047424936,,,0.6225709019563441,0.090492135340445,0.700501512232772,,,,,,,,,
17,141,switch,t0,,,,,0.0273433468617171,,,0.9913253342025524,0.5063297563079011,0.8759413291286743,,,,,,,,,
18,141,switch,t0,,,,,0.853457324633719,,,0.5641951805239823,0.8037244288823217,0.0671702619255691,,,,,,,,,
19,223,switch,t1,,,,,,,,,,,0.0923324569253196,0.6000124714495672,,,,,,,
20,223,switch,t1,,,,,,,,,,,0.5461248394384227,0.0863722802674957,,,,,,,
21,237,switch,t1,,,,,,,,,,,0.7555776264091949,0.6332481323286281,,,,,,,
22,223,tor_switch,t0,,,,,,,,,,,,,0.6780729922800265,0.6230413428136193,0.3362303678588996,0.4782516950866852,0.0216265602658901,0.3557285228611717,0.0704104426496105
23,223,tor_switch,t0,,,,,,,,,,,,,0.4243176614122546,0.3821824500118489,0.9651990130659136,0.7421692762473471,0.4004465746459055,0.0030782647076168,0.9397067698162548
24,223,tor_switch,t0,,,,,,,,,,,,,0.6710108643394537,0.620779850523774,0.9851532503949566,0.0281844824815663,0.5472494163236793,0.8312878135827657,0.4661029545290791
25,237,tor_switch,t0,,,,,,,,,,,,,0.5571895159746563,0.7164321256835099,0.4500255448010192,0.5131192160333341,0.2337129066515607,0.9621182374258448,0.1070073720285764
26,155,tor_switch,t0,,,,,,,,,,,,,0.7186666666354306,0.9860669347158636,0.564141512721526,0.5884376287396245,0.567116326476203,0.5746867855307839,0.4687511706508283
27,155,tor_switch,t0,,,,,,,,,,,,,0.4356368438966828,0.9017624913807736,0.397431897812432,0.3073789272848638,0.7116500497362576,0.0250296515711236,0.6299566030958224
28,141,tor_switch,t0,,,,,,,,,,,,,0.9118800451080628,0.6439274488041448,0.1711854914919166,0.4418444321175284,0.6651086486693413,0.1178901842446259,0.0299480874848457
29,141,tor_switch,t0,,,,,,,,,,,,,0.4191473834607796,0.0534653182846592,0.3072700064957602,0.8876271546256972,0.712214843488573,0.4698575355315911,0.2549016553601273
30,141,tor_switch,t0,,,,,,,,,,,,,0.2341006432100959,0.7500365871971576,0.5643118732823874,0.6493315469823122,0.4382059803340956,0.4789154042875267,0.0079847798951518
31,141,tor_switch,t0,,,,,,,,,,,,,0.6791528142252544,0.4544052625163085,0.8405248885564212,0.6407095896662532,0.3657090862725436,0.0165229424627725,0.0042015299466272
32,141,tor_switch,t0,,,,,,,,,,,,,0.3849896336075051,0.4153816555466666,0.5197065360868994,0.6441671617164393,0.805037461358904,0.5146171175767614,0.929189420127542
33,169,tor_switch,t0,,,,,,,,,,,,,0.7828531438661018,0.8691848390411111,0.5417047224687124,0.3790782018051133,0.7928335588624524,0.0395848018502724,0.1590386146253347
34,169,tor_switch,t0,,,,,,,,,,,,,0.4748699144426761,0.7091761150915538,0.0814503372536015,0.4514147708318865,0.6948624628664347,0.6195317845758347,0.9241778978389606
