,IncidentId,EntityType,Tier,GraphMissingSerialConsole_mv,SpanTreeErrors_mv,NGSvsMSAssetName_mv,Tier1TrafficOutlier_mv,IBLinkErrorRecovery_mv,NtpError_mv,NetscanPayloadPodSetPaths_mv
0,223,switch,t0,0.8181477659140083,0.8898781261233378,0.930471102101158,0.3629027439398233,0.1364494557249601,,
1,223,tor_switch,t0,0.0120500989590226,0.0704104426496105,0.7991148888423776,0.3451416511201003,0.1599575404115619,,
2,223,cluster_switch,t0,0.2003996663284913,0.4122921592856271,0.9333677072982454,0.279566979233312,0.0358256151788336,,
3,223,tor_switch,t0,0.7098308809775044,0.9397067698162548,0.7569441784819716,0.620095152038091,0.4955973562159359,,
4,223,tor_switch,t0,0.8859153841593571,0.4661029545290791,0.5188393936217304,0.5189901907303173,0.0395587033300031,,
5,237,cluster_switch,t0,0.0986403701559257,0.5950146364924335,0.8361208014305851,0.1462408223555463,0.3258444812640239,,
6,237,switch,t0,0.7735797156234236,0.2043320592508085,0.3481264134792654,0.7242736713465967,0.9580426760933798,,
7,237,switch,t0,0.0358224773279548,0.355931009502785,0.8505958260987347,0.6767695544021444,0.1371776235826319,,
8,237,tor_switch,t0,0.0145049992377165,0.1070073720285764,0.125851217361094,0.8465186408798476,0.9640955673857676,,
9,237,cluster_switch,t0,0.550572932618619,0.8292497847569595,0.754107747161568,0.0268961036328925,0.2481473522508912,,
10,155,switch,t0,0.0371733791102165,0.130330794298313,0.8128356786706348,0.6520861802517476,0.8575384842344025,,
11,155,tor_switch,t0,0.8100165833781998,0.4687511706508283,0.3519625787121344,0.2649356852726521,0.442311187495887,,
12,155,switch,t0,0.4638197381347505,0.5020643859548692,0.1509023980479236,0.7869865668464087,0.8971196247262025,,
13,155,cluster_switch,t0,0.9268943605667516,0.9717590077968488,0.1426031230272985,0.683932270058741,0.8017475836852801,,
14,155,tor_switch,t0,0.8900367596202824,0.6299566030958224,0.1612321027174519,0.8326817537738517,0.7974484327517832,,
15,141,tor_switch,t0,0.8451416506222216,0.0299480874848457,0.1724760013567807,0.9980337179333088,0.9891971223424476,,
16,141,tor_switch,t0,0.7882816742933714,0.2549016553601273,0.1213827595997356,0.6841676811502457,0.0067304830796606,,
17,141,switch,t0,0.4417434830249237,0.3314037744962547,0.2563828251201006,0.6733939378201574,0.9606431185104306,,
18,141,switch,t0,0.5380069260046089,0.3801272435047461,0.0516103697405063,0.1101539952904293,0.792245703618234,,
19,141,tor_switch,t0,0.5807565466416927,0.0079847798951518,0.9887993936366788,0.1689259868274257,0.2972362458252119,,
20,141,tor_switch,t0,0.2519708141628183,0.0042015299466272,0.4877799725197397,0.2151222926013206,0.084115249664973,,
21,141,cluster_switch,t0,0.769346182502649,0.8742883666556703,0.773381792709456,0.5564772006011434,0.4368439437355081,,
22,141,tor_switch,t0,0.8371680506853564,0.929189420127542,0.8423131424358339,0.6726122883557966,0.5107079214991437,,
23,169,tor_switch,t0,0.2476679574657602,0.1590386146253347,0.6126003271309574,0.7453856692148406,0.927609950903003,,
24,169,tor_switch,t0,0.9770318959104202,0.9241778978389606,0.0129994229828707,0.9809305105950622,0.0495292789280077,,
25,169,cluster_switch,t0,0.1057094409414841,0.1610090894140675,0.52537046877041,0.0244088999438064,0.6912822975236119,,
26,169,cluster_switch,t0,0.0159651440646662,0.1273623855274872,0.868387873900963,0.4247969466629525,0.8568498462368349,,
27,223,cluster_switch,t1,,,,,,0.8029986819296482,0.97146961276955
28,223,switch,t1,,,,,,0.8568273511746773,0.541320153308208
29,223,switch,t1,,,,,,0.0374162807166349,0.0787710646473944
30,223,cluster_switch,t1,,,,,,0.1516606969320172,0.4370465530400236
31,237,switch,t1,,,,,,0.0868513311771349,0.0237203562551266
32,155,cluster_switch,t1,,,,,,0.2615665484522781,0.4671547273443743
33,141,cluster_switch,t1,,,,,,0.8049807796648918,0.5599985033757721
34,169,cluster_switch,t1,,,,,,0.4122535915765812,0.5538294500051334
