,IncidentId,EntityType,Tier,NGSvsMSAssetName_mv,SoftwareErrorsSev2_pers_1h,SnmpVoltage_pers_1h,TacacsUnreachable_mv,IBLinkErrorRecovery_pers_1h,ServerTorInterfaceErrorsCountThreshold_mv,IBBandwidthSpeedMode_mv,ISISDown_mv,JuniperSSGStateChange_mv,Tier1TrafficOutlier_pers_1h
0,223,cluster_switch,t0,0.9333677072982454,0.0074087994420741,,,,,,,,
1,237,cluster_switch,t0,0.8361208014305851,0.4053442882699615,,,,,,,,
2,237,cluster_switch,t0,0.754107747161568,0.8131175320594528,,,,,,,,
3,155,cluster_switch,t0,0.1426031230272985,0.8621786224571513,,,,,,,,
4,141,cluster_switch,t0,0.773381792709456,0.0349047682421077,,,,,,,,
5,169,cluster_switch,t0,0.52537046877041,0.3750350371993689,,,,,,,,
6,169,cluster_switch,t0,0.868387873900963,0.7772833449388994,,,,,,,,
7,223,cluster_switch,t1,,,0.3321020901327055,0.5007735736030691,,,,,,
8,223,cluster_switch,t1,,,0.6132950076949282,0.8034550179244317,,,,,,
9,155,cluster_switch,t1,,,0.5970521687926655,0.8797076478761405,,,,,,
10,141,cluster_switch,t1,,,0.8439581241940171,0.1185316305681556,,,,,,
11,169,cluster_switch,t1,,,0.3991140532816815,0.435179179958434,,,,,,
12,223,switch,t0,,,,,0.55967296684718,0.6550511159951219,,,,
13,237,switch,t0,,,,,0.7325343662490105,0.2441464912928949,,,,
14,237,switch,t0,,,,,0.442827411744252,0.941935485480078,,,,
15,155,switch,t0,,,,,0.2035827135055855,0.8393845013745145,,,,
16,155,switch,t0,,,,,0.6839124184033818,0.4135282072973424,,,,
17,141,switch,t0,,,,,0.5146878384471688,0.9281590754544052,,,,
18,141,switch,t0,,,,,0.6686495697280194,0.053913961886683,,,,
19,223,switch,t1,,,,,,,0.6288043267169623,0.0851000089967951,,
20,223,switch,t1,,,,,,,0.9797518445250024,0.0416102084502276,,
21,237,switch,t1,,,,,,,0.407990870479212,0.6876504041281196,,
22,223,tor_switch,t0,,,,,,,,,0.7241025519653205,0.1294909100479275
23,223,tor_switch,t0,,,,,,,,,0.6131265211872067,0.9238905439878392
24,223,tor_switch,t0,,,,,,,,,0.0720962244409543,0.0854489212432789
25,237,tor_switch,t0,,,,,,,,,0.6795678781218334,0.4180782408151972
26,155,tor_switch,t0,,,,,,,,,0.6758434174225333,0.6818500918853773
27,155,tor_switch,t0,,,,,,,,,0.0477225225898397,0.7995341530861498
28,141,tor_switch,t0,,,,,,,,,0.7552179684268963,0.5115052627006832
29,141,tor_switch,t0,,,,,,,,,0.0988460637426227,0.7186468452191164
30,141,tor_switch,t0,,,,,,,,,0.7815510612318495,0.209272790902719
31,141,tor_switch,t0,,,,,,,,,0.2058899118234591,0.4562784320029316
32,141,tor_switch,t0,,,,,,,,,0.0719474141838342,0.314077719980153
33,169,tor_switch,t0,,,,,,,,,0.0695911381929778,0.6653774624372236
34,169,tor_switch,t0,,,,,,,,,0.6553470107879277,0.2667086260366761
