,IncidentId,EntityType,Tier,SoftwareErrors_mv,LineCardDown_pers_1h,VoltageError_mv,HAFailover_pers_1h,HighInterfaceUtilT3WAN_pers_1h,HighInterfaceLinkUtilization_pers_1h,PowerSupplyRedundancy_mv,SnmpCpu_pers_1h,PhynetPktDiscards_pers_1h,BadOSVersion_pers_1h,PfcPauseFrames_pers_1h,BadOSVersion_mv
0,223,cluster_switch,t1,0.9093614288780962,0.99529346370604,0.3920005407414407,0.1479066134461765,,,,,,,,
1,223,cluster_switch,t0,0.876026844123488,0.9690033060757908,0.0478699979743114,0.7051709014831127,,,,,,,,
2,223,cluster_switch,t1,0.8107908817055911,0.3975960515689467,0.13933717805834,0.4818420759883277,,,,,,,,
3,237,cluster_switch,t0,0.9959401035074684,0.8322959932012927,0.5288093597780499,0.8054358438984104,,,,,,,,
4,237,cluster_switch,t0,0.6663041897157819,0.2139644050787614,0.8996306142186823,0.9777817343744404,,,,,,,,
5,155,cluster_switch,t0,0.8737359912552356,0.015892634080823,0.9399667770374224,0.114091464894972,,,,,,,,
6,155,cluster_switch,t1,0.1025394457929795,0.2422096983405374,0.572118913195131,0.0511322023705047,,,,,,,,
7,141,cluster_switch,t1,0.9254407883549152,0.9130108056537466,0.0252969449185763,0.5227160854811699,,,,,,,,
8,141,cluster_switch,t0,0.0906666172118487,0.0645993477684304,0.9861018283647784,0.9743487420108476,,,,,,,,
9,169,cluster_switch,t1,0.0180948609574476,0.1713809612103778,0.1306925427174432,0.0026242933436484,,,,,,,,
10,169,cluster_switch,t0,0.2309474643782444,0.6279145083498674,0.6706270705107124,0.9507896473655544,,,,,,,,
11,169,cluster_switch,t0,0.0589532724088303,0.1780876330155906,0.7397249112019152,0.0667373769125931,,,,,,,,
12,223,switch,t0,,,,,0.1461897576150262,0.2445464721277823,0.6191071732085749,0.837541421290354,,,,
13,223,switch,t1,,,,,0.0380766791058985,0.0990402686273292,0.6222642032124619,0.4833106307550898,,,,
14,223,switch,t1,,,,,0.8771490377986615,0.8145901110957982,0.4174248475316059,0.1262213327422258,,,,
15,237,switch,t0,,,,,0.8041762877458078,0.830774073770786,0.6341471293505899,0.0561456847604248,,,,
16,237,switch,t1,,,,,0.9975426422122444,0.3590704040598226,0.0391386333432099,0.2790587149420583,,,,
17,237,switch,t0,,,,,0.6092631461267024,0.0225403236940835,0.6689435550871426,0.9473129298405966,,,,
18,237,switch,t2,,,,,0.2853145738104026,0.4994767414743327,0.9330132464957404,0.2902251004883469,,,,
19,155,switch,t0,,,,,0.1167308148961404,0.7676757058674725,0.8793142705536579,0.4256873712030742,,,,
20,155,switch,t2,,,,,0.2577038833025658,0.1565651866285695,0.6574016894125108,0.1713154297545016,,,,
21,155,switch,t0,,,,,0.6402460564000756,0.1540830454962911,0.8641309778425015,0.700501512232772,,,,
22,141,switch,t0,,,,,0.0275889750906314,0.9604948586163587,0.9748761211232436,0.8759413291286743,,,,
23,141,switch,t0,,,,,0.8098278704538797,0.9508770141660516,0.1025168474849432,0.0671702619255691,,,,
24,223,tor_switch,t0,,,0.0722755712842115,,,,,,0.08899906145717,0.5141409077490484,0.0493240111315147,0.1374844925362903
25,223,tor_switch,t0,,,0.0450518262390814,,,,,,0.1312152623749035,0.7715657624316381,0.0645790279947663,0.5952214608854395
26,223,tor_switch,t0,,,0.579496593341577,,,,,,0.0067546962150493,0.0608530056118353,0.0297988220313571,0.1071433683129787
27,237,tor_switch,t0,,,0.4204008336697443,,,,,,0.8839858741746887,0.8818192141013099,0.7704950632382154,0.8968891844208001
28,155,tor_switch,t0,,,0.0035441653952972,,,,,,0.0354032469304902,0.5834665677893743,0.012492902571329,0.1240862320566607
29,155,tor_switch,t0,,,0.0280212868766571,,,,,,0.0671131856170818,0.9109721824599512,0.6200211749837966,0.00666542612579
30,141,tor_switch,t0,,,0.53978170300535,,,,,,0.7053026459362797,0.1701975255995262,0.7954241918891272,0.4108178786785598
31,141,tor_switch,t0,,,0.168212826012869,,,,,,0.73806898241526,0.7077877734906277,0.7607999710886546,0.0860119422353267
32,141,tor_switch,t0,,,0.1107758251494066,,,,,,0.4598287698070521,0.912241705512325,0.0415521302231207,0.9220356901045424
33,141,tor_switch,t0,,,0.9172457787489592,,,,,,0.9415619516876288,0.2290301018870327,0.4271692864603731,0.0710750817232899
34,141,tor_switch,t0,,,0.9377512413330612,,,,,,0.4811588717286812,0.1050319385258836,0.869391764671471,0.6737091553262802
35,169,tor_switch,t0,,,0.9071633783065634,,,,,,0.9905749642098112,0.1795700443546338,0.8884842760744553,0.5699624309317632
36,169,tor_switch,t0,,,0.9902568831504605,,,,,,0.9789173670386748,0.2103846923443978,0.2798164263930172,0.4694539155031662
