,IncidentId,EntityType,Tier,IBLinkErrorRecovery_pers_1h,IBUFMTimeDifference_pers_1h,LineCardDown_mv,PhynetInterfaceErrorsPercentageThreshold_pers_1h,DeviceDownFlood_pers_1h,FIBErrors_pers_1h,SystemUsageHigh_mv,TempSNMP_mv,ExEraseExecutions_mv,QCHardwareDrops_mv,SONiCErrors_pers_1h,TORReboot_mv,Tier1TrafficOutlier_pers_1h
0,223,cluster_switch,t1,0.932514506359829,0.1744213246807561,0.751405448475505,0.7120307989364206,,,,,,,,,
1,223,cluster_switch,t0,0.56195756587271,0.9753291883586592,0.2024894010215688,0.2125002450741215,,,,,,,,,
2,223,cluster_switch,t1,0.6078437076272662,0.7011531847708313,0.0888160874076432,0.8793913086683783,,,,,,,,,
3,237,cluster_switch,t0,0.023682357130019,0.745902493639989,0.5542887688810433,0.9509212943211256,,,,,,,,,
4,237,cluster_switch,t0,0.6455602751151065,0.3665651955385856,0.2902067865675735,0.1605339220321161,,,,,,,,,
5,155,cluster_switch,t0,0.8222579618389017,0.0289689996337685,0.5585434376284765,0.7247898386901014,,,,,,,,,
6,155,cluster_switch,t1,0.2607544356673389,0.6346204386494001,0.1825769842595114,0.4114382264743021,,,,,,,,,
7,141,cluster_switch,t1,0.3579797426975819,0.4268296022345496,0.5966947231352064,0.254112533802352,,,,,,,,,
8,141,cluster_switch,t0,0.349700793856789,0.3178367433185871,0.8944562235577477,0.160429494613346,,,,,,,,,
9,169,cluster_switch,t1,0.1383647219298922,0.7506405342861842,0.2913428624416754,0.1966045532247263,,,,,,,,,
10,169,cluster_switch,t0,0.0592185495342388,0.0725268556312488,0.6262582819726458,0.2286511647984012,,,,,,,,,
11,169,cluster_switch,t0,0.0721335006940624,0.4286087047744018,0.0197065972706179,0.8187544810205719,,,,,,,,,
12,223,switch,t0,,,,,0.1702482529219313,0.7754164294254942,0.6188611180923909,0.8376791955709434,,,,,
13,223,switch,t1,,,,,0.3878897535491911,0.881726457094062,0.4230646531921387,0.6378367934936963,,,,,
14,223,switch,t1,,,,,0.421586160316409,0.6145206711842635,0.5467349983245335,0.5071786916135318,,,,,
15,237,switch,t0,,,,,0.3317742015436055,0.0517550124804754,0.8442408554735542,0.0822165145531733,,,,,
16,237,switch,t1,,,,,0.6383987431233471,0.7852984479192505,0.1843711633861759,0.7064069797692544,,,,,
17,237,switch,t0,,,,,0.2055380449275987,0.1033263792103298,0.9491392991468588,0.7189844484507492,,,,,
18,237,switch,t2,,,,,0.4091985799988051,0.0470799557200483,0.381082976393777,0.4616195335725591,,,,,
19,155,switch,t0,,,,,0.5598530347260569,0.617646462366608,0.1799357708263954,0.9144666663445322,,,,,
20,155,switch,t2,,,,,0.6947448086751791,0.9443536831021038,0.9177433688559824,0.0515946705633943,,,,,
21,155,switch,t0,,,,,0.3027167878176657,0.2868631773529552,0.7034245531160601,0.1176589607435508,,,,,
22,141,switch,t0,,,,,0.5502139342948549,0.6752628244803326,0.0161371418873613,0.153582956859806,,,,,
23,141,switch,t0,,,,,0.6558796462769283,0.8007608005745409,0.6042281496136346,0.0426744199258822,,,,,
24,223,tor_switch,t0,,,,,,,,,0.6837646228089702,0.8717533844397389,0.0317419690923209,0.4178944714440348,0.1294909100479275
25,223,tor_switch,t0,,,,,,,,,0.1548911107429315,0.597732658620534,0.8284320998556793,0.7218017143851287,0.9238905439878392
26,223,tor_switch,t0,,,,,,,,,0.0011764493393766,0.9587086131474094,0.5547770255460569,0.5128586699855981,0.0854489212432789
27,237,tor_switch,t0,,,,,,,,,0.7415685768207587,0.6684279013991895,0.0769015368495322,0.1067892945249935,0.4180782408151972
28,155,tor_switch,t0,,,,,,,,,0.1551259567651137,0.8568702696136382,0.309448564634009,0.6681985341515888,0.6818500918853773
29,155,tor_switch,t0,,,,,,,,,0.6130724367024947,0.405689086798578,0.8490917768255396,0.8893863830860104,0.7995341530861498
30,141,tor_switch,t0,,,,,,,,,0.7144780417099742,0.9688059415088744,0.8409514140048704,0.6819551663839276,0.5115052627006832
31,141,tor_switch,t0,,,,,,,,,0.7567288570935414,0.3030048098137137,0.8630828523715884,0.6702883686554156,0.7186468452191164
32,141,tor_switch,t0,,,,,,,,,0.5293500462854162,0.527570062541063,0.943761008045795,0.6676075494982595,0.209272790902719
33,141,tor_switch,t0,,,,,,,,,0.4447010052569161,0.6154168335685342,0.2755529973321953,0.956914841025587,0.4562784320029316
34,141,tor_switch,t0,,,,,,,,,0.7695154089514801,0.288169320813072,0.5070924343699724,0.7334117954569781,0.314077719980153
35,169,tor_switch,t0,,,,,,,,,0.8417366045511013,0.5909541621245227,0.9378199997835212,0.5019692989890849,0.6653774624372236
36,169,tor_switch,t0,,,,,,,,,0.5234953657552408,0.9013936131651376,0.4959813937201148,0.00487365745777,0.2667086260366761
