,IncidentId,EntityType,Tier,BGPGlobalShutDown_mv,ExEraseExecutions_pers_1h,FanFailure_pers_1h,HighInterfaceUtilT3WAN_pers_1h,IBCongestedBandwidth_pers_1h,IBUFMTimeDifference_pers_1h,NetscanBadDevice_pers_1h,PfcPauseFrames_pers_1h,TCAMAboveThr_mv,TooManyT1sDown_pers_1h,BGPFlap_pers_1h,MemErrors_pers_1h,NGSvsMSAssetName_pers_1h
0,223,switch,t0,0.6631369199475088,0.320109560339773,0.5628129203839807,0.1461897576150262,0.9147706464650268,0.8933397550353346,0.0537280789222993,0.3471870948894383,0.7490473573055013,0.0732222199262101,,,
1,223,tor_switch,t0,0.6561836687297691,0.8389665445379032,0.2892301103683715,0.4658981389175251,0.2522735898143883,0.1104417029589699,0.0947667867066355,0.0493240111315147,0.8578387680181969,0.0500336774122927,,,
2,223,cluster_switch,t0,0.9797786718578144,0.4330300144911704,0.7140562809477895,0.6404132688609966,0.861392213484114,0.9753291883586592,0.1340323163587901,0.5658285818335165,0.2579459329066182,0.1448394381718011,,,
3,223,tor_switch,t0,0.145048525906673,0.1684437175012741,0.6143963776200875,0.5706400420079092,0.4603121999621391,0.315130788161142,0.1482206412546783,0.0645790279947663,0.955387573927044,0.5304362174888256,,,
4,223,tor_switch,t0,0.9248838392683448,0.3674924752789424,0.5661041399493569,0.724105135060411,0.6953083105510866,0.4053071249228435,0.193009375623104,0.0297988220313571,0.1738194365990325,0.217121089912737,,,
5,237,cluster_switch,t0,0.5922927010841906,0.0151984596125607,0.0384772809545427,0.326618429090446,0.7950038004797357,0.745902493639989,0.0773946606756568,0.8501122701287418,0.3896373246912578,0.5051548774872721,,,
6,237,switch,t0,0.1377219936639578,0.6498845121881401,0.6547524816153993,0.8041762877458078,0.3967968312548119,0.251181791684399,0.8264041914364286,0.3267161350115873,0.0589323694578105,0.2445325061718382,,,
7,237,switch,t0,0.9429052409794098,0.7810830029078052,0.7267826456679379,0.6092631461267024,0.0132723948513872,0.5645115553237353,0.318727129973207,0.0351013084161129,0.4568419324583075,0.4134502553162558,,,
8,237,tor_switch,t0,0.2177002348135396,0.9876770920786426,0.5961863773198404,0.0107649579195362,0.9764820274449798,0.6248102766386434,0.846205206585532,0.7704950632382154,0.4092429249203911,0.2767525748865164,,,
9,237,cluster_switch,t0,0.1956091786432829,0.2901670921221604,0.6244801297616336,0.7502574429817719,0.284931892229961,0.3665651955385856,0.3242928030559208,0.8386854587243794,0.5488611640707102,0.4326226424944798,,,
10,155,switch,t0,0.476235868067186,0.4704629177191334,0.5274036811225405,0.1167308148961404,0.1669271259356846,0.4876709409212193,0.0032927687971127,0.3957424028131199,0.9614992838959394,0.5200739917008331,,,
