,IncidentId,EntityType,Tier,DeviceDownFlood_mv,SSHReachability_pers_1h,LineCardDown_pers_1h,BGPFlap_mv,MgmtInterfaceFlaps_mv,ServerTorInterfaceFlaps_mv,IfOperStatus_pers_1h,NoSysLog_mv,SoftwareErrorsSev2_mv,MultipleReboot_mv,NoGoldConfig_pers_1h,InterfaceUnsecured_mv,NetscanPayloadPodSetPaths_pers_1h,ServerTorPktDiscards_mv,SnmpLoopbackReachability_mv,TORReboot_mv,BGPGlobalShutDown_mv,HAFailover_mv,SONiCSNMPHighMemory_mv,SoftwareErrors_mv,NetscanPayloadAlertPaths_mv,PhynetPktDiscards_mv,NetscanPktLoss_mv,HardwareErrorsSev2_pers_1h,PortExhaustion_mv
0,223,cluster_switch,t0,0.2783309975704053,0.7855194523982704,0.9690033060757908,0.6778079372816601,0.1140770660001878,,,,,,,,,,,,,,,,,,,,
1,237,cluster_switch,t0,0.5157004376212957,0.0941104190320167,0.8322959932012927,0.3368021560567503,0.6409432245326376,,,,,,,,,,,,,,,,,,,,
2,237,cluster_switch,t0,0.0816454278354658,0.9994798004993865,0.2139644050787614,0.6896426911288333,0.9470503369953914,,,,,,,,,,,,,,,,,,,,
3,155,cluster_switch,t0,0.0840730166161123,0.5764619967062653,0.015892634080823,0.9171986408627868,0.4464787518256548,,,,,,,,,,,,,,,,,,,,
4,141,cluster_switch,t0,0.8614245011151488,0.7499589516479839,0.0645993477684304,0.8134341150743793,0.403479002257321,,,,,,,,,,,,,,,,,,,,
5,169,cluster_switch,t0,0.1442050299463109,0.6975074038977893,0.6279145083498674,0.0511217113804897,0.0844085348794047,,,,,,,,,,,,,,,,,,,,
6,169,cluster_switch,t0,0.4621689559725975,0.4706324364089456,0.1780876330155906,0.3400793552082795,0.5201395884857316,,,,,,,,,,,,,,,,,,,,
7,223,cluster_switch,t1,,,,,,0.1318551726294087,0.0222756925365356,0.9583813101701544,0.7167587564512007,,,,,,,,,,,,,,,,
8,223,cluster_switch,t1,,,,,,0.9320544651771652,0.4317070560480112,0.8563828854356564,0.1373287698794054,,,,,,,,,,,,,,,,
9,155,cluster_switch,t1,,,,,,0.7284441660550268,0.4584947831619899,0.4832385370903358,0.8307999180313055,,,,,,,,,,,,,,,,
10,141,cluster_switch,t1,,,,,,0.3495963012399213,0.7768997896653117,0.7934990352947177,0.8405555109625427,,,,,,,,,,,,,,,,
11,169,cluster_switch,t1,,,,,,0.7479350374124967,0.2041437472154003,0.3113515304580184,0.6815331995402826,,,,,,,,,,,,,,,,
12,223,switch,t0,,,,,,,,,,0.969621401482738,0.7231521198132008,0.3561672928677868,0.6824292721727868,0.8425498001723615,,,,,,,,,,,
13,237,switch,t0,,,,,,,,,,0.2640187208619681,0.9436751369517604,0.7372087612262925,0.9765058836783558,0.3997674634292032,,,,,,,,,,,
14,237,switch,t0,,,,,,,,,,0.7573203636994419,0.3931759108073507,0.6304795754589583,0.6124624452867724,0.1870935090357992,,,,,,,,,,,
15,155,switch,t0,,,,,,,,,,0.8939429849526762,0.8376729521543929,0.4156851888476077,0.6310331471181946,0.6794098438853302,,,,,,,,,,,
16,155,switch,t0,,,,,,,,,,0.1188909825915017,0.2150062490805059,0.6523404975483166,0.5818323693399078,0.8956294797465203,,,,,,,,,,,
17,141,switch,t0,,,,,,,,,,0.0260215882484763,0.9421594529527894,0.9189957472131204,0.0639902587569416,0.6350413129265821,,,,,,,,,,,
18,141,switch,t0,,,,,,,,,,0.1087686365805432,0.7277247011878323,0.1880492624161617,0.7166492373537036,0.5191249535368829,,,,,,,,,,,
19,223,switch,t1,,,,,,,,,,,,,,,0.5537134865243692,0.9189245001811196,,,,,,,,,
20,223,switch,t1,,,,,,,,,,,,,,,0.6879820985270233,0.4221956447545781,,,,,,,,,
21,237,switch,t1,,,,,,,,,,,,,,,0.7057229705903777,0.0132594089928246,,,,,,,,,
22,223,tor_switch,t0,,,,0.7063224554557931,,,,,,,,,,,,,0.6561836687297691,0.2773215173887069,0.3663930930878494,0.9978920381123272,0.6505086177343323,0.0357311156274376,0.6648707473777886,0.0768360862939034,0.499561653138752
23,223,tor_switch,t0,,,,0.7263533587933112,,,,,,,,,,,,,0.145048525906673,0.8068599887613791,0.0556877641330199,0.1589020027815285,0.5839132594705487,0.5182001683494076,0.3331036854580355,0.771801881867748,0.4061859604486298
24,223,tor_switch,t0,,,,0.0273105723972401,,,,,,,,,,,,,0.9248838392683448,0.4069705482544745,0.6123953080519539,0.4156974920332724,0.7424774628228525,0.5732281761023579,0.7380562420862202,0.8286819404578469,0.4487809569566167
25,237,tor_switch,t0,,,,0.4733090423418277,,,,,,,,,,,,,0.2177002348135396,0.8019596919364992,0.1430487985869255,0.3357931527858186,0.991095264111607,0.9431709977597764,0.5560685669814012,0.0837007150257909,0.8319092772133556
26,155,tor_switch,t0,,,,0.6398949075575887,,,,,,,,,,,,,0.1897438241133462,0.5972543392531107,0.4419518225057809,0.7461243813088894,0.7292660238927077,0.6354527167161734,0.6541850810578542,0.5492928495270774,0.8653816284642316
27,155,tor_switch,t0,,,,0.9633543626496516,,,,,,,,,,,,,0.3157395688492487,0.1398818643565432,0.2106619768109313,0.1527592285319043,0.714733218319013,0.2637547136401251,0.7671452024074717,0.5584980755661579,0.989161155445875
