,IncidentId,EntityType,Tier,HardwareErrors_mv,PowerSupplyRedundancy_mv,SpanTreeErrors_pers_1h,ServerTorPktDiscards_mv,JuniperSSGStateChange_pers_1h,ExEraseExecutions_pers_1h,DiskFailures_pers_1h,MgmtInterfaceFlaps_pers_1h,NetscanPayloadPathsMultiple_pers_1h,InterfaceDownDuration_mv,NoGoldConfig_mv,TeamdExpired_pers_1h,ServerPingmeshPktLoss_mv,IBLinkDown_mv,VRRPStateChange_pers_1h,NGSvsLLDPt1t0_pers_1h,NetscanBadDevice_pers_1h,FanFailure_mv,ExceessiveSyslogs_pers_1h,SnmpCpu_pers_1h
0,223,switch,t0,0.0145516288603441,0.6191071732085749,0.9356947083043934,0.8425498001723615,0.438488519772422,0.320109560339773,0.0909802962373811,0.9054843249416308,0.3572149100383618,0.4237573616687147,0.2465873317137749,0.5557749768491776,0.2132172472703555,0.5081384992869815,0.1012982432453903,0.6974547623979362,,,,
1,223,tor_switch,t0,0.8472407240489245,0.5061060221357199,0.5035116317434174,0.8876155944785518,0.7703931018149941,0.8389665445379032,0.256028037659333,0.6149893463490379,0.1066736720917411,0.5035191926829256,0.168863350454219,0.1697875522954623,0.2194516290901627,0.6213364506247994,0.2485161168805614,0.5559283049898431,,,,
2,223,cluster_switch,t0,0.6134660467651921,0.1742722421448073,0.2278316407498226,0.7647743956686612,0.1688177257374457,0.4330300144911704,0.6964617316180476,0.9187054367751828,0.8377595215952536,0.9594520742693642,0.2465083502641522,0.4590042500967888,0.7941963668706562,0.4644801328588107,0.244087169045073,0.6764973293622236,,,,
3,223,tor_switch,t0,0.1632316755203824,0.8261157244861644,0.2481339285933288,0.6704682136034485,0.4317672347052813,0.1684437175012741,0.0683579575429759,0.3573831075975815,0.9545740317519272,0.0496331112776174,0.1516633964573656,0.4426558469446066,0.0182759078785645,0.3152236023651014,0.5616435449847197,0.0175822501890091,,,,
4,223,tor_switch,t0,0.1392309813188658,0.8351523451640509,0.5902548980725928,0.6926671518964079,0.5908392535693443,0.3674924752789424,0.5717710906926927,0.2463633950812864,0.4717620220499707,0.7266871392615308,0.9144937812416748,0.1847136638270091,0.8932367118490583,0.4214967187698445,0.0808489382143787,0.4323128213755458,,,,
5,237,cluster_switch,t0,0.6156516365092799,0.5098912594786266,0.730782117663068,0.8230050735689887,0.8294973763946545,0.0151984596125607,0.3542773527986911,0.1319417434980777,0.4456228542133158,0.798453079359957,0.3731108643367563,0.3341111882765256,0.264969190652065,0.6414013301810692,0.3344335427900344,0.2761551761126802,,,,
6,237,switch,t0,0.2765474840830586,0.6341471293505899,0.0339851260457327,0.3997674634292032,0.6572553495156296,0.6498845121881401,0.0538655272658163,0.5100697683908677,0.9715254537887524,0.4239174803616802,0.9202991241089556,0.4990550534004444,0.3592952801142086,0.5547751565186924,0.1905308705171051,0.9179429397442436,,,,
7,237,switch,t0,0.8677912495842983,0.6689435550871426,0.6098665929593211,0.1870935090357992,0.2962587386486949,0.7810830029078052,0.3490495020107043,0.2831394244362901,0.3697755054388603,0.4470502627646948,0.7242208096894752,0.0812840505933628,0.2020734579940042,0.7159684365409482,0.6595617794824757,0.8994757608281181,,,,
8,237,tor_switch,t0,0.6369687182136602,0.4316087892618329,0.2563585878467682,0.7679865483912732,0.1774699550241434,0.9876770920786426,0.3252437368943124,0.0802295285720433,0.3789650435856143,0.9306214709294868,0.8627047188303334,0.8946882281185264,0.7713508598777918,0.6385211478536998,0.8571470806659481,0.3251019891340659,,,,
9,237,cluster_switch,t0,0.8985006882164496,0.2167846472861779,0.954068963230546,0.7852827152053217,0.9308770002804168,0.2901670921221604,0.7330304075020011,0.6118576339320559,0.3930190955743109,0.9150780569172232,0.4378709713333691,0.1792076230904531,0.1405777843529185,0.0944962693081082,0.1345236350472399,0.9240743065861492,,,,
