,IncidentId,EntityType,Tier,PowerSupplyDown_mv,TeamdExpired_pers_1h,JuniperSSGStateChange_pers_1h,VoltageError_pers_1h,DefaultRouteMismatch_pers_1h,NetscanBadDevice_pers_1h
0,223,cluster_switch,t1,0.0481400279373911,0.8286979373527678,,,,
1,223,cluster_switch,t0,0.6567667721795662,0.4590042500967888,,,,
2,223,cluster_switch,t1,0.2912107088837133,0.796483806765767,,,,
3,237,cluster_switch,t0,0.1978008104748093,0.3341111882765256,,,,
4,237,cluster_switch,t0,0.2154805278742857,0.1792076230904531,,,,
5,155,cluster_switch,t0,0.3352299114860178,0.8686384843285851,,,,
6,155,cluster_switch,t1,0.5176965233980938,0.0963060786490964,,,,
7,141,cluster_switch,t1,0.1455291250272283,0.274805609513869,,,,
8,141,cluster_switch,t0,0.5190635875068345,0.8869815320610289,,,,
9,169,cluster_switch,t1,0.5664554116816545,0.791326082707452,,,,
10,169,cluster_switch,t0,0.3472191652148001,0.4512039896970495,,,,
11,169,cluster_switch,t0,0.9208676529873672,0.4443549753499185,,,,
12,223,switch,t0,,,0.438488519772422,0.9561130600522884,,
13,223,switch,t1,,,0.0817412105005086,0.8054888777448698,,
14,223,switch,t1,,,0.1697755565258701,0.3097824194979142,,
15,237,switch,t0,,,0.6572553495156296,0.1393847065011152,,
16,237,switch,t1,,,0.9767164035745262,0.1148377763428373,,
17,237,switch,t0,,,0.2962587386486949,0.0875128904561314,,
18,237,switch,t2,,,0.5234738175210313,0.7997176548623086,,
19,155,switch,t0,,,0.5375703983295996,0.9286148342014549,,
20,155,switch,t2,,,0.1614661714101963,0.476294109360482,,
21,155,switch,t0,,,0.2777508789944977,0.0643804687340832,,
22,141,switch,t0,,,0.1816054884295437,0.7561298193146081,,
23,141,switch,t0,,,0.723097349844643,0.9192898155488948,,
24,223,tor_switch,t0,,,,,0.6636350535183918,0.0947667867066355
25,223,tor_switch,t0,,,,,0.3605047335933665,0.1482206412546783
26,223,tor_switch,t0,,,,,0.3492341637034442,0.193009375623104
27,237,tor_switch,t0,,,,,0.6113344061785175,0.846205206585532
28,155,tor_switch,t0,,,,,0.0727102783165442,0.272660641064214
29,155,tor_switch,t0,,,,,0.7477054184248412,0.9291780347416048
30,141,tor_switch,t0,,,,,0.1726672171911043,0.8573276287776603
31,141,tor_switch,t0,,,,,0.3605847337907714,0.2614528400046517
32,141,tor_switch,t0,,,,,0.4386262625716828,0.2605816804408796
33,141,tor_switch,t0,,,,,0.016237554845752,0.9117372778792724
34,141,tor_switch,t0,,,,,0.6905082054512004,0.7724573156337865
35,169,tor_switch,t0,,,,,0.8989381350727793,0.9310302250296154
36,169,tor_switch,t0,,,,,0.1423892451693293,0.6781149454020714
