,IncidentId,EntityType,Tier,PhynetInterfaceErrorsCountThreshold_pers_1h,ProcessShutdown_mv,MaxprefixExceeded_mv,NGSvsLLDPt1t2_mv,SoftwareErrors_mv,DeviceDownFlood_pers_1h,ISISDown_mv,VoltageError_pers_1h,HighInterfaceLinkUtilization_pers_1h,BadOSVersion_pers_1h,ServerTorInterfaceErrorsCountThreshold_mv,HighInterfaceUtilT3WAN_pers_1h,VRRPStateChange_mv,VoltageError_mv,PhynetPktDiscards_pers_1h,SpanTreeErrors_mv,PfcPauseFrames_pers_1h,DefaultRouteMismatch_mv,ServerPingmeshPktLoss_mv,DeviceDownFlood_mv
0,223,cluster_switch,t0,0.9159037982630184,0.0949428331510379,0.0735965697827941,0.1230309444207848,,,,,,,,,,,,,,,,
1,237,cluster_switch,t0,0.3763413358676457,0.5886926700417402,0.3501494816432851,0.9651889303477192,,,,,,,,,,,,,,,,
2,237,cluster_switch,t0,0.9603326967912592,0.7964234576261462,0.19246400718298,0.1958930806761567,,,,,,,,,,,,,,,,
3,155,cluster_switch,t0,0.0021316126306611,0.8878928397598544,0.7668197956899238,0.065265228922413,,,,,,,,,,,,,,,,
4,141,cluster_switch,t0,0.2432549293730084,0.0385151028587266,0.9107267359630042,0.6405870148797934,,,,,,,,,,,,,,,,
5,169,cluster_switch,t0,0.7541057439720686,0.8251683033155,0.3103150215054583,0.4754179673503412,,,,,,,,,,,,,,,,
6,169,cluster_switch,t0,0.1360100264795959,0.6885785442957079,0.9219105222694096,0.81431254537823,,,,,,,,,,,,,,,,
7,223,cluster_switch,t1,,,,,0.9093614288780962,0.8055898165965895,0.0320631199925284,,,,,,,,,,,,,
8,223,cluster_switch,t1,,,,,0.8107908817055911,0.9881931757077856,0.9433042619417764,,,,,,,,,,,,,
9,155,cluster_switch,t1,,,,,0.1025394457929795,0.127795127416711,0.8990580079517894,,,,,,,,,,,,,
10,141,cluster_switch,t1,,,,,0.9254407883549152,0.9109917076594432,0.5777971882962973,,,,,,,,,,,,,
11,169,cluster_switch,t1,,,,,0.0180948609574476,0.0922119363752217,0.005232974038406,,,,,,,,,,,,,
12,223,switch,t0,,,,,,,,0.9561130600522884,0.2445464721277823,0.9332232160811956,0.6550511159951219,,,,,,,,,
13,237,switch,t0,,,,,,,,0.1393847065011152,0.830774073770786,0.3796795381979031,0.2441464912928949,,,,,,,,,
14,237,switch,t0,,,,,,,,0.0875128904561314,0.0225403236940835,0.7872086904802774,0.941935485480078,,,,,,,,,
15,155,switch,t0,,,,,,,,0.9286148342014549,0.7676757058674725,0.1397996354687906,0.8393845013745145,,,,,,,,,
16,155,switch,t0,,,,,,,,0.0643804687340832,0.1540830454962911,0.9736287473183614,0.4135282072973424,,,,,,,,,
17,141,switch,t0,,,,,,,,0.7561298193146081,0.9604948586163587,0.26685904656247,0.9281590754544052,,,,,,,,,
18,141,switch,t0,,,,,,,,0.9192898155488948,0.9508770141660516,0.9478401453731372,0.053913961886683,,,,,,,,,
19,223,switch,t1,,,,,,,,,,,,0.0380766791058985,0.040527002110652,,,,,,,
20,223,switch,t1,,,,,,,,,,,,0.8771490377986615,0.9754703089640828,,,,,,,
21,237,switch,t1,,,,,,,,,,,,0.9975426422122444,0.8170055480349668,,,,,,,
22,223,tor_switch,t0,,,,,,,,,,,,,,0.0722755712842115,0.08899906145717,0.0704104426496105,0.0493240111315147,0.1883773184081337,0.2194516290901627,0.2668455939948593
23,223,tor_switch,t0,,,,,,,,,,,,,,0.0450518262390814,0.1312152623749035,0.9397067698162548,0.0645790279947663,0.2119031795587603,0.0182759078785645,0.0045900971546374
24,223,tor_switch,t0,,,,,,,,,,,,,,0.579496593341577,0.0067546962150493,0.4661029545290791,0.0297988220313571,0.3947184291438312,0.8932367118490583,0.7019646448041084
25,237,tor_switch,t0,,,,,,,,,,,,,,0.4204008336697443,0.8839858741746887,0.1070073720285764,0.7704950632382154,0.9456209522756162,0.7713508598777918,0.0811739733132944
26,155,tor_switch,t0,,,,,,,,,,,,,,0.0035441653952972,0.0354032469304902,0.4687511706508283,0.012492902571329,0.3735608912463308,0.7415861801344938,0.9562218503499912
27,155,tor_switch,t0,,,,,,,,,,,,,,0.0280212868766571,0.0671131856170818,0.6299566030958224,0.6200211749837966,0.070209502232087,0.4702992772210892,0.9741930152268996
28,141,tor_switch,t0,,,,,,,,,,,,,,0.53978170300535,0.7053026459362797,0.0299480874848457,0.7954241918891272,0.9588096783606602,0.2140281686616678,0.5548903410158665
29,141,tor_switch,t0,,,,,,,,,,,,,,0.168212826012869,0.73806898241526,0.2549016553601273,0.7607999710886546,0.9745196928318484,0.5115249322143086,0.4000646070676074
30,141,tor_switch,t0,,,,,,,,,,,,,,0.1107758251494066,0.4598287698070521,0.0079847798951518,0.0415521302231207,0.6337307767669698,0.923539676663513,0.2857822728858449
31,141,tor_switch,t0,,,,,,,,,,,,,,0.9172457787489592,0.9415619516876288,0.0042015299466272,0.4271692864603731,0.7870830508695265,0.0408282721671412,0.0341257389993039
32,141,tor_switch,t0,,,,,,,,,,,,,,0.9377512413330612,0.4811588717286812,0.929189420127542,0.869391764671471,0.2812251656406414,0.9388216616088774,0.8684260118481134
33,169,tor_switch,t0,,,,,,,,,,,,,,0.9071633783065634,0.9905749642098112,0.1590386146253347,0.8884842760744553,0.7721054354459176,0.8540999136731535,0.2104141548004662
34,169,tor_switch,t0,,,,,,,,,,,,,,0.9902568831504605,0.9789173670386748,0.9241778978389606,0.2798164263930172,0.1288427895481546,0.269382452119057,0.8710208859022226
