,IncidentId,EntityType,Tier,NoGoldConfig_pers_1h,ServerTorFCSErrors_pers_1h,BGPHoldTimer_pers_1h,HighInterfaceUtilT3WAN_mv,HighInterfaceLinkUtilization_pers_1h,TempSNMP_mv,InterfaceDownDuration_pers_1h,FIBErrors_pers_1h,DupManagementIP_mv,DefaultRouteMismatch_pers_1h,MultipleReboot_mv,defaultMTUSize_mv,TooManyT1sDown_mv,QCHardwareDrops_pers_1h,SoftwareErrors_pers_1h,PhynetInterfaceFlaps_mv,DefaultRouteMismatch_mv,SNMPHighMemory_mv,Tier1TrafficOutlier_pers_1h,BGPHoldTimer_mv,HardwareErrors_pers_1h,NGSvsLLDPWAN_pers_1h,SyslogOutliers_pers_1h,PhynetPktDiscards_mv,InterfaceUnsecured_mv,NetscanPktLoss_mv
0,223,switch,t0,0.7231521198132008,0.8943384696466945,0.3935191852050771,0.3730537221644713,0.2445464721277823,0.8376791955709434,0.8743852201655979,0.7754164294254942,0.6902737391712584,0.306115012838615,0.969621401482738,0.5635710788512402,0.4834248117685888,0.4695095060318632,0.2723688053907981,0.0624086711658006,0.2643486509191494,0.9666095908661876,0.2524080174230162,0.3538530669897505,0.4056465613111419,,,,,
1,223,tor_switch,t0,0.7304857168169524,0.9911506035225072,0.4719530211786195,0.8010472668167606,0.9867119216579804,0.4271832513314137,0.6738108537461918,0.6178350628334313,0.9012378916366868,0.6636350535183918,0.7453422206144827,0.2711275918455297,0.5997249087035968,0.4494260870419345,0.1655650993520898,0.9260631777505188,0.1883773184081337,0.1424531295073591,0.1294909100479275,0.1996760079682707,0.2774264708702272,,,,,
2,223,cluster_switch,t0,0.8246562241449825,0.36793218160492,0.3454411306889507,0.3723410083183137,0.4457283958874203,0.5752203242945578,0.4850493597770294,0.2003005322560855,0.5187122804797434,0.6451953325059859,0.7608170362848958,0.3099076546840094,0.532553967334359,0.3142105281768363,0.0989413550871215,0.2783559948823924,0.5857509158238315,0.8878337296391102,0.4433677251105137,0.8891956501476961,0.5105958078606725,,,,,
3,223,tor_switch,t0,0.4971195611209394,0.4836575874806722,0.8040265003340028,0.0104642778344804,0.7234630665509124,0.6522190735335686,0.3519379806529742,0.9226509415675794,0.9768695094915336,0.3605047335933665,0.2470074908179892,0.7215891214263117,0.0056707155632147,0.7778047247100982,0.2917700405943945,0.6784502328844138,0.2119031795587603,0.7041951337153278,0.9238905439878392,0.9969503944108098,0.7234801492249064,,,,,
4,223,tor_switch,t0,0.0483836760257451,0.8763111381634909,0.0620664422112429,0.0871879537491282,0.8988211561132892,0.9320418854386422,0.7648748033782615,0.5586931803212881,0.1758226737099273,0.3492341637034442,0.1202021573195724,0.9342021283353288,0.3130719087772565,0.3381105177970064,0.3754666488184128,0.49611917299554,0.3947184291438312,0.6396127169912256,0.0854489212432789,0.2368062322085006,0.3042252328025295,,,,,
5,237,cluster_switch,t0,0.3703685237470735,0.5633795352888432,0.2919160527115788,0.9100889290021312,0.9340838424828194,0.9932438412469934,0.239263469434645,0.7590131307974604,0.9552581849368216,0.1470222374292087,0.8950777352402655,0.9969801410656244,0.1960321458577848,0.5298199455644639,0.0601949202872754,0.4063109542638606,0.8946091272785793,0.2330059124183137,0.7267283993498352,0.22122745906083,0.0583690032323903,,,,,
6,237,switch,t0,0.9436751369517604,0.7089473753519113,0.1637991558609611,0.4481739291176262,0.830774073770786,0.0822165145531733,0.2451622483261931,0.0517550124804754,0.1858310058284306,0.6438942553707745,0.2640187208619681,0.1611743207402256,0.0641107936892397,0.4676284876016391,0.1601174103460654,0.3534399056062943,0.7720601787868772,0.9610048404642448,0.8322879956931952,0.3355506219936538,0.009362705068546,,,,,
7,237,switch,t0,0.3931759108073507,0.979206336080194,0.0675669560570028,0.7145879071514679,0.0225403236940835,0.7189844484507492,0.6674667338552029,0.1033263792103298,0.909069384233436,0.5861235565614666,0.7573203636994419,0.6553853406315885,0.1073534102703541,0.7974900206047286,0.9708737686828834,0.9879278819475552,0.5825801680122947,0.2339688584055459,0.7976390645414421,0.1778883181675227,0.9576777414894364,,,,,
8,237,tor_switch,t0,0.3500328069880601,0.0435460056890015,0.1043972631022187,0.7146959395814585,0.0134924755299876,0.648037157510967,0.4490829331505087,0.1999167350972228,0.5042656751815938,0.6113344061785175,0.1317993259209577,0.8998951931015643,0.8943898715424039,0.2749553280700235,0.6668360140417283,0.5023071645819577,0.9456209522756162,0.0575473950795795,0.4180782408151972,0.7870436935049133,0.124622734463432,,,,,
9,237,cluster_switch,t0,0.2534071992724659,0.6434421919687673,0.1811012116739909,0.8027095949859748,0.7956835296465771,0.1328157002454337,0.3453057210093238,0.6020679400342832,0.3538688683769171,0.9520575250384234,0.7594269032846354,0.0319414353352579,0.3475819138254492,0.1542609076816563,0.932495088475533,0.0819888041960547,0.2559140017322805,0.8837193046755213,0.3362622444776016,0.504392729953744,0.6209974350210353,,,,,
10,155,switch,t0,0.8376729521543929,0.0338101104432937,0.8526034441467055,0.0566168160517456,0.7676757058674725,0.9144666663445322,0.5703181157377054,0.617646462366608,0.4676373787330908,0.728247089310838,0.8939429849526762,0.3271596671231045,0.0635461113101429,0.6056712441072802,0.6053385628088743,0.995682620139247,0.0486308192487627,0.5468373957565013,0.6599614158400201,0.1720661887633292,0.5934308988212954,,,,,
