,IncidentId,EntityType,Tier,BadOSVersion_mv,CpvBackup_mv,ExceessiveSyslogs_mv,HighInterfaceLinkUtilization_pers_1h,MgmtInterfaceFlaps_pers_1h,MultipleReboot_pers_1h,NetscanLinksMultiple_pers_1h,NetscanPayloadAlertPodSetPaths_mv,NetscanPayloadPodSetPaths_mv,NetscanPktLoss_pers_1h,PowerSupplyDown_pers_1h,SONiCErrors_mv,SSHReachability_pers_1h,SnmpCpu_mv,SnmpLoopbackReachability_pers_1h,SnmpVoltage_pers_1h,SoftwareErrors_pers_1h,TCAMAboveThr_pers_1h,TempSNMP_pers_1h,TemperatureErrors_mv,TooManyT2sDown_pers_1h,BadOSVersion_pers_1h,FanFailure_mv,NGSvsMSAssetName_pers_1h,ServerTorInterfaceFlaps_pers_1h,TemperatureErrors_pers_1h,Tier1TrafficOutlier_mv
0,223,switch,t0,0.2093266088609235,0.8699498962921549,0.1529662713039131,0.2445464721277823,0.9054843249416308,0.413346985861279,0.185598033194042,0.9606625545640274,0.1005520039614744,0.1396037880180082,0.6959815920718297,0.2766531420651242,0.5581360804053277,0.3421187657926319,0.8978034589542676,0.1209355388906073,0.2723688053907981,0.8527455120096349,0.9948463088878688,0.0452940266306901,0.8007571055887047,,,,,,
1,223,tor_switch,t0,0.1374844925362903,0.6880724245967286,0.8987031811090015,0.9867119216579804,0.6149893463490379,0.6619799136133449,0.0967202105867809,0.3557189987519544,0.0216265602658901,0.8756365688066702,0.5458613166109357,0.748543918979553,0.8459578569785431,0.3714159531376163,0.8044045487359796,0.5860479451245683,0.1655650993520898,0.0382703628883697,0.2170445453229833,0.7624646408949514,0.756020941114079,,,,,,
2,223,cluster_switch,t0,0.3748191146191671,0.0440546061338262,0.2365883763315005,0.4457283958874203,0.9187054367751828,0.2291899788399058,0.9159085368783108,0.7157483828390565,0.5104449244630456,0.3562162477485823,0.9736881787020376,0.7274225544970913,0.7855194523982704,0.7993502614236397,0.4920512990515654,0.1814506263566229,0.0989413550871215,0.8842829362849262,0.0647493538594735,0.3440658372855859,0.1190120371213945,,,,,,
3,223,tor_switch,t0,0.5952214608854395,0.399605483738264,0.8642297482566041,0.7234630665509124,0.3573831075975815,0.9270058262571932,0.664252221878713,0.3594937818146909,0.4004465746459055,0.983572722871416,0.1863298325874653,0.907573660109709,0.5211769417963401,0.519075605120922,0.7526454773512543,0.2009611020849475,0.2917700405943945,0.9884296160404556,0.909297001480574,0.9772533352344492,0.7363336286632072,,,,,,
4,223,tor_switch,t0,0.1071433683129787,0.3672393443974362,0.9242076393065104,0.8988211561132892,0.2463633950812864,0.0679100904147238,0.4389722396549548,0.2140576088909612,0.5472494163236793,0.164457063266488,0.3158462384212753,0.8645110253580682,0.0497406451935359,0.6491197577073297,0.1165786791505667,0.3727146791920716,0.3754666488184128,0.4437861649590906,0.0415410008482144,0.2827564217466962,0.8895347126492283,,,,,,
5,237,cluster_switch,t0,0.0764202166297527,0.4798198013394397,0.2093005856035782,0.9340838424828194,0.1319417434980777,0.3914782896574764,0.4947754334918195,0.1340140160994112,0.7290967149433113,0.2172198575669054,0.1028059396118492,0.4745319269225773,0.0941104190320167,0.480359661596187,0.0703700105686307,0.7309300717109964,0.0601949202872754,0.1819384131456296,0.1223962303777087,0.5655790419650012,0.7959462313642176,,,,,,
6,237,switch,t0,0.7775404001175881,0.9436743880733732,0.6407214584334078,0.830774073770786,0.5100697683908677,0.6114280862481242,0.9911251579819856,0.6084978134470076,0.0449059038671781,0.4482815427588902,0.0990495608537198,0.3257255877629965,0.064636850293592,0.977722450932812,0.2438385693984198,0.0745057756829087,0.1601174103460654,0.1228310042743954,0.5935231300999464,0.0835696076750586,0.8163433638875636,,,,,,
7,237,switch,t0,0.2607676951243307,0.6980960334372308,0.8899422248874608,0.0225403236940835,0.2831394244362901,0.7162322081796737,0.3242720240557782,0.3383708225637015,0.3909955504592501,0.8083401766000244,0.1407636626186286,0.9094114315690828,0.1572241605434999,0.0791051791512146,0.435531609016599,0.6593659908150872,0.9708737686828834,0.2240057401140377,0.7077027128560447,0.754564050396994,0.7520294679127913,,,,,,
8,237,tor_switch,t0,0.8968891844208001,0.1778976350095116,0.3818133841021839,0.0134924755299876,0.0802295285720433,0.8753584870795551,0.3628244484913856,0.811222841325912,0.2337129066515607,0.5043844495337245,0.4953978945255082,0.8542811095425569,0.4721970534483078,0.7521684206760632,0.6136288264833231,0.7954981149527176,0.6668360140417283,0.2688290457522615,0.296927295929221,0.9274760017184698,0.3939557760494936,,,,,,
9,237,cluster_switch,t0,0.32203030955321,0.8914787555081009,0.6195107007345113,0.7956835296465771,0.6118576339320559,0.0476217022744414,0.1764504916735385,0.8364730573069511,0.4428211006747476,0.2230551115598488,0.294975040794561,0.4734108280574143,0.9994798004993865,0.9000496901710794,0.2320166859097316,0.9137128507074276,0.932495088475533,0.3984516188212618,0.3766124261353031,0.9070262702134012,0.2976675322422789,,,,,,
