,IncidentId,EntityType,Tier,HAFailover_pers_1h,SoftwareErrors_mv,DeviceDownFlood_pers_1h,PhynetInterfaceErrorsCountThreshold_mv,LineCardDown_pers_1h,PhynetInterfaceErrorsCountThreshold_pers_1h,Hw3Drop_mv,SoftwareErrorsSev2_mv,DupStaticIP_mv,MultipleReboot_mv,ServerTorPktDiscards_pers_1h,NGSvsMSAssetName_mv,PhynetFCSErrors_mv,VoltageError_pers_1h,HighInterfaceUtilT3WAN_pers_1h,HardwareErrors_pers_1h,IBUFMTimeDifference_mv,NtpError_pers_1h,PhynetPktDiscards_pers_1h,HAIneligible_pers_1h,VoltageError_mv,DupManagementIP_mv,IBUFMTimeDifference_pers_1h,GraphMissingSerialConsole_mv,IBLinkErrorRecovery_mv,DefaultRouteMismatch_mv,DeviceDownFlood_mv,SpanTreeErrors_mv
0,223,cluster_switch,t1,0.1479066134461765,0.9093614288780962,0.8055898165965895,0.7973632772016688,0.99529346370604,0.7141447219626085,0.1996249067105647,0.7167587564512007,0.6588691170004054,,,,,,,,,,,,,,,,,,,
1,223,cluster_switch,t0,0.7051709014831127,0.876026844123488,0.0251594108747389,0.09254736376829,0.9690033060757908,0.9159037982630184,0.9710752699150678,0.0466622784632406,0.7545919364294558,,,,,,,,,,,,,,,,,,,
2,223,cluster_switch,t1,0.4818420759883277,0.8107908817055911,0.9881931757077856,0.3853669313168406,0.3975960515689467,0.2638165083946813,0.0585176359600744,0.1373287698794054,0.9907949799288428,,,,,,,,,,,,,,,,,,,
3,237,cluster_switch,t0,0.8054358438984104,0.9959401035074684,0.46008885626667,0.0092349080805845,0.8322959932012927,0.3763413358676457,0.1665739316137123,0.8969519398279233,0.9669655027107537,,,,,,,,,,,,,,,,,,,
4,237,cluster_switch,t0,0.9777817343744404,0.6663041897157819,0.3463372641471233,0.9968503867184474,0.2139644050787614,0.9603326967912592,0.9115809950473686,0.181253077616785,0.5166575160593957,,,,,,,,,,,,,,,,,,,
5,155,cluster_switch,t0,0.114091464894972,0.8737359912552356,0.8995215296953233,0.4660173596332919,0.015892634080823,0.0021316126306611,0.1014624262748803,0.7118001029536967,0.0712718665140699,,,,,,,,,,,,,,,,,,,
6,155,cluster_switch,t1,0.0511322023705047,0.1025394457929795,0.127795127416711,0.0323053403551438,0.2422096983405374,0.6299742312283536,0.4250309968048877,0.8307999180313055,0.9774403530948508,,,,,,,,,,,,,,,,,,,
7,141,cluster_switch,t1,0.5227160854811699,0.9254407883549152,0.9109917076594432,0.3211758737279802,0.9130108056537466,0.7504436653175732,0.6519797738605672,0.8405555109625427,0.9626925676807612,,,,,,,,,,,,,,,,,,,
8,141,cluster_switch,t0,0.9743487420108476,0.0906666172118487,0.0729680514941953,0.8848359091277225,0.0645993477684304,0.2432549293730084,0.0406502132214705,0.1256990972670356,0.726480599138662,,,,,,,,,,,,,,,,,,,
9,169,cluster_switch,t1,0.0026242933436484,0.0180948609574476,0.0922119363752217,0.837698127197466,0.1713809612103778,0.9659207714900188,0.962148369816056,0.6815331995402826,0.0708299521229153,,,,,,,,,,,,,,,,,,,
10,169,cluster_switch,t0,0.9507896473655544,0.2309474643782444,0.0088001686146805,0.4157455171432325,0.6279145083498674,0.7541057439720686,0.5314168516783512,0.7447006430668172,0.0698309333660511,,,,,,,,,,,,,,,,,,,
11,169,cluster_switch,t0,0.0667373769125931,0.0589532724088303,0.7524681805228011,0.8276109081955995,0.1780876330155906,0.1360100264795959,0.292853174073691,0.4112866945148287,0.7038056888777743,,,,,,,,,,,,,,,,,,,
12,223,switch,t0,,,,,,,,,,0.969621401482738,0.9153367693340608,0.930471102101158,0.9404141452141492,0.9561130600522884,0.1461897576150262,0.4056465613111419,0.5716090912166122,0.0808074492139594,,,,,,,,,,
13,223,switch,t1,,,,,,,,,,0.1078639979030601,0.587722554244749,0.9959179000190628,0.0847714514609302,0.8054888777448698,0.0380766791058985,0.6033721938855587,0.7549605932719003,0.5972842863550364,,,,,,,,,,
14,223,switch,t1,,,,,,,,,,0.9185149668657722,0.042465068425146,0.4390583515287347,0.007707039957354,0.3097824194979142,0.8771490377986615,0.2409535491197214,0.8579987393543748,0.8954166189124068,,,,,,,,,,
15,237,switch,t0,,,,,,,,,,0.2640187208619681,0.8540846356349816,0.3481264134792654,0.554822504703307,0.1393847065011152,0.8041762877458078,0.009362705068546,0.141066436876207,0.6365081747927616,,,,,,,,,,
16,237,switch,t1,,,,,,,,,,0.6205533538990193,0.9594696995117268,0.5544490524093924,0.0827769117435397,0.1148377763428373,0.9975426422122444,0.5656367728800676,0.9771162960430332,0.758695227728694,,,,,,,,,,
17,237,switch,t0,,,,,,,,,,0.7573203636994419,0.9890934898775716,0.8505958260987347,0.9573901635284804,0.0875128904561314,0.6092631461267024,0.9576777414894364,0.229142614607763,0.9879423926592078,,,,,,,,,,
18,237,switch,t2,,,,,,,,,,0.7302212092313978,0.0420586691499028,0.1085013851012735,0.7370539749242564,0.7997176548623086,0.2853145738104026,0.918130273603151,0.9479787411406214,0.8003280208262679,,,,,,,,,,
19,155,switch,t0,,,,,,,,,,0.8939429849526762,0.5179320866718674,0.8128356786706348,0.200867937846161,0.9286148342014549,0.1167308148961404,0.5934308988212954,0.6951325657311966,0.9509007079735234,,,,,,,,,,
20,155,switch,t2,,,,,,,,,,0.5132154141593632,0.9038080870091167,0.8748431145585238,0.9194794681404403,0.476294109360482,0.2577038833025658,0.1154343169060441,0.0263105955234441,0.0561618608796959,,,,,,,,,,
21,155,switch,t0,,,,,,,,,,0.1188909825915017,0.1248609456830214,0.1509023980479236,0.2983586985544403,0.0643804687340832,0.6402460564000756,0.0581571582677424,0.8523475961390087,0.9354034790196006,,,,,,,,,,
22,141,switch,t0,,,,,,,,,,0.0260215882484763,0.9675619217624826,0.2563828251201006,0.563924632139577,0.7561298193146081,0.0275889750906314,0.8393116467206951,0.5353397088165216,0.3228806708180974,,,,,,,,,,
23,141,switch,t0,,,,,,,,,,0.1087686365805432,0.8162448598685206,0.0516103697405063,0.7239919648834805,0.9192898155488948,0.8098278704538797,0.8201673257370468,0.9134049802230828,0.1754813672745216,,,,,,,,,,
24,223,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.08899906145717,0.0231788069635728,0.0722755712842115,0.9012378916366868,0.1104417029589699,0.0120500989590226,0.1599575404115619,0.1883773184081337,0.2668455939948593,0.0704104426496105
25,223,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.1312152623749035,0.2403832631695055,0.0450518262390814,0.9768695094915336,0.315130788161142,0.7098308809775044,0.4955973562159359,0.2119031795587603,0.0045900971546374,0.9397067698162548
26,223,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.0067546962150493,0.1335967046466851,0.579496593341577,0.1758226737099273,0.4053071249228435,0.8859153841593571,0.0395587033300031,0.3947184291438312,0.7019646448041084,0.4661029545290791
27,237,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.8839858741746887,0.0930421716756734,0.4204008336697443,0.5042656751815938,0.6248102766386434,0.0145049992377165,0.9640955673857676,0.9456209522756162,0.0811739733132944,0.1070073720285764
28,155,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.0354032469304902,0.9577292450723488,0.0035441653952972,0.0693510755264295,0.9784618640108728,0.8100165833781998,0.442311187495887,0.3735608912463308,0.9562218503499912,0.4687511706508283
29,155,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.0671131856170818,0.4152476764193452,0.0280212868766571,0.4156919035002165,0.921849634025596,0.8900367596202824,0.7974484327517832,0.070209502232087,0.9741930152268996,0.6299566030958224
30,141,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.7053026459362797,0.7933951922190594,0.53978170300535,0.3472690361556197,0.994349579004018,0.8451416506222216,0.9891971223424476,0.9588096783606602,0.5548903410158665,0.0299480874848457
31,141,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.73806898241526,0.6708202474191856,0.168212826012869,0.2720694786913826,0.9197742233970184,0.7882816742933714,0.0067304830796606,0.9745196928318484,0.4000646070676074,0.2549016553601273
32,141,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.4598287698070521,0.9745122977800826,0.1107758251494066,0.0211827553293042,0.9557290033934938,0.5807565466416927,0.2972362458252119,0.6337307767669698,0.2857822728858449,0.0079847798951518
33,141,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.9415619516876288,0.2398273667921865,0.9172457787489592,0.9709332370767568,0.0305509554960025,0.2519708141628183,0.084115249664973,0.7870830508695265,0.0341257389993039,0.0042015299466272
34,141,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.4811588717286812,0.0962296692437998,0.9377512413330612,0.2280583278729597,0.5628602884290224,0.8371680506853564,0.5107079214991437,0.2812251656406414,0.8684260118481134,0.929189420127542
35,169,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.9905749642098112,0.4715485582709598,0.9071633783065634,0.0700076933235378,0.339061414652778,0.2476679574657602,0.927609950903003,0.7721054354459176,0.2104141548004662,0.1590386146253347
36,169,tor_switch,t0,,,,,,,,,,,,,,,,,,,0.9789173670386748,0.7886928274224612,0.9902568831504605,0.7225254038862451,0.6159533816502815,0.9770318959104202,0.0495292789280077,0.1288427895481546,0.8710208859022226,0.9241778978389606
