,IncidentId,EntityType,Tier,HAFailover_pers_1h,MgmtInterfaceFlaps_pers_1h,TooManyT2sDown_pers_1h,DeviceDataPlaneDownBGP_pers_1h,ServerTorInterfaceFlaps_pers_1h,TooManyT2sDown_mv
0,223,cluster_switch,t1,0.1479066134461765,0.3329311751808697,,,,
1,223,cluster_switch,t0,0.7051709014831127,0.9187054367751828,,,,
2,223,cluster_switch,t1,0.4818420759883277,0.7243142701337344,,,,
3,237,cluster_switch,t0,0.8054358438984104,0.1319417434980777,,,,
4,237,cluster_switch,t0,0.9777817343744404,0.6118576339320559,,,,
5,155,cluster_switch,t0,0.114091464894972,0.7362859006170522,,,,
6,155,cluster_switch,t1,0.0511322023705047,0.764358213039333,,,,
7,141,cluster_switch,t1,0.5227160854811699,0.3593416800387942,,,,
8,141,cluster_switch,t0,0.9743487420108476,0.2561899097438287,,,,
9,169,cluster_switch,t1,0.0026242933436484,0.7779351576896527,,,,
10,169,cluster_switch,t0,0.9507896473655544,0.2383203326899808,,,,
11,169,cluster_switch,t0,0.0667373769125931,0.6167395431965009,,,,
12,223,switch,t0,,,0.8007571055887047,0.2450762577636447,,
13,223,switch,t1,,,0.7717516323266034,0.3156588038911611,,
14,223,switch,t1,,,0.6753862531922497,0.565870690231972,,
15,237,switch,t0,,,0.8163433638875636,0.9464666572354036,,
16,237,switch,t1,,,0.5138741982419035,0.352147378161383,,
17,237,switch,t0,,,0.7520294679127913,0.2461072757574067,,
18,237,switch,t2,,,0.447544887585813,0.7964210197394621,,
19,155,switch,t0,,,0.8232110260153164,0.9697245788324228,,
20,155,switch,t2,,,0.4818235808497191,0.8985947841801764,,
21,155,switch,t0,,,0.735659203986638,0.7763611121839433,,
22,141,switch,t0,,,0.0935109063957584,0.7507612211039468,,
23,141,switch,t0,,,0.6748923826643759,0.593298336695098,,
24,223,tor_switch,t0,,,,,0.7547362311979448,0.7713419813139901
25,223,tor_switch,t0,,,,,0.4810834037046477,0.5434364202071097
26,223,tor_switch,t0,,,,,0.0602336123967675,0.3217804602400923
27,237,tor_switch,t0,,,,,0.9547812981302846,0.3114978339998193
28,155,tor_switch,t0,,,,,0.460165348612533,0.8261659995769494
29,155,tor_switch,t0,,,,,0.2558278006765377,0.5254330301320509
30,141,tor_switch,t0,,,,,0.3345064152585821,0.0839362807998148
31,141,tor_switch,t0,,,,,0.984710434715134,0.7084997009500175
32,141,tor_switch,t0,,,,,0.5980517563885157,0.602123608540055
33,141,tor_switch,t0,,,,,0.8548696805329231,0.5384184882589536
34,141,tor_switch,t0,,,,,0.5039844567257625,0.1475705102138018
35,169,tor_switch,t0,,,,,0.4670558380637651,0.051622760753
36,169,tor_switch,t0,,,,,0.6760517090022441,0.2163808804555381
