,IncidentId,EntityType,Tier,LineCardDown_pers_1h,BGPGlobalShutDown_pers_1h,NetscanPayloadPodSetPaths_pers_1h,ProcessShutdown_mv,IBLinkDown_pers_1h,SSHReachability_mv,defaultMTUSize_mv,NGSvsLLDPt1t2_mv,TCAMAboveThr_mv,SnmpCpu_mv,PhynetInterfaceErrorsPercentageThreshold_pers_1h,IBLinkErrorRecovery_mv,LinkStatus_pers_1h,JuniperSSGStateChange_mv,HAIneligible_pers_1h,GraphMissingMgmt_mv,PortExhaustion_mv,FabricDegraded_mv,BgpDelay_pers_1h,GraphMissingUplink_mv
0,223,cluster_switch,t0,0.9690033060757908,0.3889392673060249,0.9395195487987044,0.0949428331510379,,,,,,,,,,,,,,,,
1,237,cluster_switch,t0,0.8322959932012927,0.1583680916462919,0.2920524012610818,0.5886926700417402,,,,,,,,,,,,,,,,
2,237,cluster_switch,t0,0.2139644050787614,0.5028390777100712,0.3691274188762724,0.7964234576261462,,,,,,,,,,,,,,,,
3,155,cluster_switch,t0,0.015892634080823,0.308265499051398,0.9717537165771728,0.8878928397598544,,,,,,,,,,,,,,,,
4,141,cluster_switch,t0,0.0645993477684304,0.8077561428869067,0.613018821464881,0.0385151028587266,,,,,,,,,,,,,,,,
5,169,cluster_switch,t0,0.6279145083498674,0.5380483807166067,0.7075094520764729,0.8251683033155,,,,,,,,,,,,,,,,
6,169,cluster_switch,t0,0.1780876330155906,0.9216000923248991,0.6091246535772975,0.6885785442957079,,,,,,,,,,,,,,,,
7,223,cluster_switch,t1,,,,,0.8774169937356858,0.1050088188080842,0.6028264932738367,,,,,,,,,,,,,
8,223,cluster_switch,t1,,,,,0.3132876065090209,0.4385714396773322,0.995828083848928,,,,,,,,,,,,,
9,155,cluster_switch,t1,,,,,0.1978289835883128,0.8293261309165098,0.6776475113189158,,,,,,,,,,,,,
10,141,cluster_switch,t1,,,,,0.2533585596488382,0.4284406456522345,0.6717251556862615,,,,,,,,,,,,,
11,169,cluster_switch,t1,,,,,0.8015348900725312,0.978933227632328,0.282800615983735,,,,,,,,,,,,,
12,223,switch,t0,,,,,,,,0.3442652340253408,0.7490473573055013,0.3421187657926319,0.0988445072104928,,,,,,,,,
13,237,switch,t0,,,,,,,,0.3505069628386967,0.0589323694578105,0.977722450932812,0.3895006147287856,,,,,,,,,
14,237,switch,t0,,,,,,,,0.8124368653544808,0.4568419324583075,0.0791051791512146,0.0791483497870509,,,,,,,,,
15,155,switch,t0,,,,,,,,0.3658458638016585,0.9614992838959394,0.5870831906581594,0.0886190770705517,,,,,,,,,
16,155,switch,t0,,,,,,,,0.6434137457086788,0.2331862554503311,0.4057291498646143,0.292013705729037,,,,,,,,,
17,141,switch,t0,,,,,,,,0.7420703366264324,0.8381230861545076,0.0076037045053561,0.9419644770718544,,,,,,,,,
18,141,switch,t0,,,,,,,,0.8496235752983652,0.3955892261984611,0.7466650142418607,0.0188037871102546,,,,,,,,,
19,223,switch,t1,,,,,,,,,,,,0.4770674621916086,0.9380862462930982,,,,,,,
20,223,switch,t1,,,,,,,,,,,,0.5585377336895029,0.1767248192470631,,,,,,,
21,237,switch,t1,,,,,,,,,,,,0.8641550545017279,0.3709418387796255,,,,,,,
22,223,tor_switch,t0,,,,,,,,,,,,,,0.7241025519653205,0.0231788069635728,0.5851082578672091,0.499561653138752,0.2470597918918451,0.6549504920198561,0.3189593650119262
23,223,tor_switch,t0,,,,,,,,,,,,,,0.6131265211872067,0.2403832631695055,0.7413455655990204,0.4061859604486298,0.8424227237342928,0.451635277920578,0.8519448564536674
24,223,tor_switch,t0,,,,,,,,,,,,,,0.0720962244409543,0.1335967046466851,0.7021024568994508,0.4487809569566167,0.2727827922169991,0.1060367511588291,0.0679096861342059
25,237,tor_switch,t0,,,,,,,,,,,,,,0.6795678781218334,0.0930421716756734,0.0338845434277375,0.8319092772133556,0.4731010257045189,0.3735586228936038,0.2109746235665511
26,155,tor_switch,t0,,,,,,,,,,,,,,0.6758434174225333,0.9577292450723488,0.4341760082004379,0.8653816284642316,0.2739722541882426,0.7235088009673478,0.9536722376779976
27,155,tor_switch,t0,,,,,,,,,,,,,,0.0477225225898397,0.4152476764193452,0.0379820778343875,0.989161155445875,0.003762604632496,0.2613024042206768,0.4653608823841051
28,141,tor_switch,t0,,,,,,,,,,,,,,0.7552179684268963,0.7933951922190594,0.5611365963230945,0.8960079365364746,0.6703561476091809,0.0233905091829055,0.6994904442390565
29,141,tor_switch,t0,,,,,,,,,,,,,,0.0988460637426227,0.6708202474191856,0.4359288850343686,0.2909887835816119,0.7525603066789811,0.3705433452498609,0.9396581652774296
30,141,tor_switch,t0,,,,,,,,,,,,,,0.7815510612318495,0.9745122977800826,0.4167561371618112,0.0141147728211429,0.0666449525677201,0.4592820523150163,0.292975816545397
31,141,tor_switch,t0,,,,,,,,,,,,,,0.2058899118234591,0.2398273667921865,0.0812488710373673,0.4355921452555176,0.7237638914866368,0.8436827026552938,0.196381498944698
32,141,tor_switch,t0,,,,,,,,,,,,,,0.0719474141838342,0.0962296692437998,0.955706935750303,0.9008336623135628,0.3162308905537919,0.4936251484763538,0.0560042343903256
33,169,tor_switch,t0,,,,,,,,,,,,,,0.0695911381929778,0.4715485582709598,0.4488703474899629,0.0263004101021613,0.564862649287652,0.4367647148581619,0.0559512975322697
34,169,tor_switch,t0,,,,,,,,,,,,,,0.6553470107879277,0.7886928274224612,0.9189910293617298,0.0793333954295644,0.0862392847994913,0.5568694836127565,0.8410765597819791
